,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
10,AK2000,-0.25834917781459704,-0.25591996916157017,-0.2564587006049699,-0.25637496066643334,-0.2570574241189585,-0.2569589583745749,-0.1521468242040133,-0.12396250104178205,-0.2298319549891337,0.27476100579379725,-0.21696651888102733,-0.24620756962093676,-0.1446576969748649,-0.21109781613965142,-0.24997496144329048,-0.15861263433746206
11,AK2000-2002,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.21996407696083256
12,AK2001,-0.2584875341138304,-0.25604871492814885,-0.2561969890433821,-0.25684287469100003,-0.25726227629848947,-0.25714772768412997,-0.1521468242040133,-0.12396250104178205,-0.22947911923634567,0.2676374616329704,-0.2165330987905321,-0.2462850748207159,-0.1410767040479095,-0.2099621420298033,-0.25055867219957967,-0.15861263433746206
13,AK2001-2003,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.21996407696083256
14,AK2002,-0.25838494606241025,-0.2555312197493155,-0.2559196622334896,-0.25734150757298263,-0.25727123039162464,-0.25719939963641436,-0.1521468242040133,-0.12396250104178205,-0.22906449893060923,0.26137268465358715,-0.21593239375282813,-0.24623892003882494,-0.13051580965315962,-0.20831025241547874,-0.2509363946239508,-0.15861263433746206
15,AK2002-2004,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.21996407696083256
16,AK2003,-0.2583169470857984,-0.2553723286325135,-0.2559783755671155,-0.2578821046083994,-0.2574854734493217,-0.25733649699368505,-0.1521468242040133,-0.12396250104178205,-0.22875966109498772,0.25441807829894597,-0.2153367579559487,-0.2463564841059057,-0.12359660298073728,-0.20706488251092936,-0.2514784448187285,-0.15861263433746206
17,AK2004,-0.2580626387744234,-0.2552674479348616,-0.2559321544321334,-0.25826499322404717,-0.25751037019608775,-0.25741858872433043,-0.1521468242040133,-0.12396250104178205,-0.2285140547316143,0.2492513970597692,-0.21482729925308586,-0.24647666070781044,-0.11534211081012817,-0.20478708159742712,-0.25183186524888457,-0.15861263433746206
18,AK2005,-0.2577985040213415,-0.25604243464685233,-0.2555199118768877,-0.2585746502778196,-0.2576357274999798,-0.2575138067976932,-0.22308471905296726,-0.2429262787475532,-0.2282761076103419,0.24454929478760287,-0.21446738315454594,-0.24665605476572622,-0.10769456659324032,-0.2030545333105281,-0.25223967585656953,-0.22135842792954555
19,AK2006,-0.2575972584951839,-0.25677534347415637,-0.25518137329364055,-0.25846795710340204,-0.2576156353885546,-0.2574754695427725,-0.21561757222676156,-0.2442456552100941,-0.22807135053817404,0.2403962403855398,-0.21406944774982226,-0.24677187714292426,-0.1015036974652835,-0.20025083785184053,-0.2524306200968307,-0.22554134140058757
