,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
20,AK2008,-0.11718081634072425,-1.2163330507316976,-1.3801846056208416,-1.0203535135577013,3.215468042721597,-1.2208473377688065,-0.13546002260801102,-0.23782369374455836,-0.24916188822185958,-0.17059951176943985,-0.18700861462016227,-0.24247295992233173,-0.004029477331609247,-2.3290211975940336
21,AK2009,0.4576374838590417,-1.2163330507316976,-1.3801846056208416,-1.4117611213584351,3.215468042721597,-0.5523005301055458,-3.2829661426342334,-0.2355267888777473,-0.24684938023977754,-0.22819294004583168,-0.18988335825625452,-0.24311920451137198,1.3400640047600068,-2.1645672471104582
22,AK2010,-0.11718081634072425,-0.017193091182278887,-1.102817246695781,-1.0203535135577013,2.295186358629971,-0.5523005301055458,-0.13546002260801102,-0.23448947700241327,-0.24523561567674187,-0.23651699022640393,-0.17540115918386534,-0.24002226615610112,2.0121107458058156,-2.3290211975940336
23,AK2011,-0.11718081634072425,-0.6167630709569882,-1.102817246695781,-1.4117611213584351,2.9853976216986906,-0.8865739339371759,-3.2829661426342334,-0.23164921829614152,-0.24520234218059683,-0.24056652815208773,-0.1723094537639171,-0.2387129914042793,1.3400640047600068,-2.000113296626883
24,AK2012,-0.11718081634072425,-0.6167630709569882,-1.3801846056208416,-1.0203535135577013,2.5252567796528775,-0.8865739339371759,-0.13546002260801102,-0.2324889469571262,-0.24342221013683585,-0.23966663083526912,-0.17100768306078099,-0.23786531993034338,1.3400640047600068,-2.3290211975940336
25,AK2013,-0.11718081634072425,-0.6167630709569882,-0.8254498877707205,-0.6289459057569671,2.0651159376070645,-0.8865739339371759,-3.2829661426342334,-0.2313034476710302,-0.2447365132345659,-0.2356170929095853,-0.17030255726324894,-0.23786531993034338,0.3319938931912943,-2.493475148077609
26,AK2014,0.4576374838590417,-0.6167630709569882,-1.3801846056208416,-1.0203535135577013,2.755327200675784,-0.8865739339371759,-0.13546002260801102,-0.23616893432438266,-0.24556835063819255,-0.24146642546890634,-0.17258065599373712,-0.24050904779459897,1.004040634237103,-2.3290211975940336
27,AK2015,-0.11718081634072425,-0.017193091182278887,-0.2707151699206001,-0.6289459057569671,1.6049750955612538,-0.8865739339371759,-3.2829661426342334,-0.23587255950285865,-0.24576799161506294,-0.23831678486004118,-0.17399090758880123,-0.2406097612370468,1.004040634237103,-2.1645672471104582
28,AK2016,-0.69199911654049,-0.6167630709569882,0.006652189004460531,-1.4117611213584351,2.0651159376070645,-1.2208473377688065,-0.13546002260801102,-0.23540329936877896,-0.24803058935292735,-0.24259129711492963,-0.1687838247762568,-0.24094547271187292,2.0121107458058156,-2.822383049044759
29,AK2017,-0.11718081634072425,0.5823768885924313,-1.6575519645459014,-0.6289459057569671,1.6049750955612538,-0.21802712627391574,-3.2829661426342334,-0.23713215249433567,-0.24714884170508314,-0.24056652815208773,-0.1613528836791882,-0.23986280320555872,0.6680172637141988,-2.1645672471104582
