,LocYear,econ1,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
1802,SD2016,0.8440118961131282,-0.11962426052008172,-0.08168763145898257,0.6113251432597325,-1.843783177712468,-0.9722721572630919,-1.1500212757289958,-0.3130639631140461,0.15348339904744016,-0.7190735657105445,-0.7129423906478576,-1.3126009968649042,-1.1497758417857364
1803,SD2017,-0.38975360972285505,-0.11962426052008172,-0.08168763145898257,0.7965090702163953,-2.1715346739273427,-0.7942320292205786,-0.28575514820272246,-0.3130639631140461,0.19009189222499764,-0.17415062919552232,-1.319949140804465,-1.3126009968649042,-1.1497758417857364
1804,SD2018,0.021501558889139204,-0.32345079224689655,-0.08168763145898257,0.24095728934640898,-1.843783177712468,-1.1503122853056047,-0.7178882119658592,0.5659316162978246,0.007049426337210177,-1.2639965022255664,-1.319949140804465,-0.880581570364046,-0.4956511693328537
1805,SD2019,-0.38975360972285505,-0.5272773239737113,-0.08168763145898257,0.9816929971730581,-1.6799074296050311,-1.328352413348118,-1.1500212757289958,0.27293308982720077,0.31822161834644885,-0.7190735657105445,-1.319949140804465,-0.880581570364046,-0.4956511693328537
1806,SD2020,0.021501558889139204,-0.11962426052008172,-0.27163934981736915,0.05577336238974617,-0.04114994853065934,-0.08207151705052648,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1807,SD2021,-0.38975360972285505,-0.5272773239737113,0.10826408689940398,1.3520608510863836,-1.843783177712468,-1.5063925413906312,-0.7178882119658592,-0.60606248958467,0.8368419383618467,-1.2639965022255664,-0.7129423906478576,-0.880581570364046,-1.1497758417857364
1808,SD2022,0.021501558889139204,-0.5272773239737113,-0.08168763145898257,1.7224287049997093,-1.843783177712468,-1.328352413348118,-1.5821543394921322,-0.8990610160552939,1.3554622583772444,-1.8089194387405882,-1.926955890961073,-1.3126009968649042,-0.4956511693328537
1809,SD2022,0.021501558889139204,-0.5272773239737113,-0.08168763145898257,1.7224287049997093,-1.843783177712468,-1.328352413348118,-1.5821543394921322,-0.8990610160552939,1.3554622583772444,-1.8089194387405882,-1.926955890961073,-1.3126009968649042,-0.4956511693328537
1810,SD2023,-0.8010087783348498,-0.5272773239737113,0.10826408689940398,1.7224287049997093,-1.3521559333901565,-1.1503122853056047,-1.1500212757289958,-0.02006543664342309,1.245636778844572,-1.2639965022255664,-0.10593564049124923,-1.3126009968649042,-1.4768381780121773
1811,SD2024,-0.8010087783348498,-1.3425834508809698,-0.27163934981736915,0.05577336238974617,-0.04114994853065934,-1.5063925413906312,-1.5821543394921322,-0.02006543664342309,1.9228939026293856,-1.8089194387405882,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1917,TN2000,0.4327567275011334,0.49185533466036213,-0.6515427865341425,0.05577336238974617,-0.04114994853065934,0.45204886707701336,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1918,TN2001,0.021501558889139204,0.6956818663871763,-0.6515427865341425,0.05577336238974617,-0.04114994853065934,0.8081291231620399,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1919,TN2002,0.4327567275011334,0.49185533466036213,-0.27163934981736915,0.05577336238974617,-0.04114994853065934,0.8081291231620399,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1920,TN2003,0.4327567275011334,0.49185533466036213,-0.46159106817575596,0.05577336238974617,-0.04114994853065934,0.6300889951195267,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1921,TN2004,0.8440118961131282,0.6956818663871763,-0.6515427865341425,0.05577336238974617,-0.04114994853065934,0.9861692512045522,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1922,TN2005,0.8440118961131282,0.6956818663871763,-0.46159106817575596,0.05577336238974617,-0.04114994853065934,1.1642093792470654,-0.28575514820272246,-0.02006543664342309,-1.4633917162946823,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1923,TN2006,1.2552670647251225,1.103334929840806,-0.46159106817575596,0.05577336238974617,0.2866015476842153,1.1642093792470654,-0.28575514820272246,-0.02006543664342309,-1.3962761454691603,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1924,TN2007,0.8440118961131282,1.103334929840806,-0.6515427865341425,0.05577336238974617,0.2866015476842153,1.1642093792470654,0.14637791556041393,-0.02006543664342309,-1.2498421727589304,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1925,TN2008,0.4327567275011334,0.8995083981139912,-0.46159106817575596,0.05577336238974617,0.12272579957677798,0.0959686109919868,1.0106440430866872,0.8589301427684476,-1.1522195242854438,0.9156952438345215,1.1080778598219658,1.2795155621402414,1.1396605117993512
