,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth28,hth30,hth31,hth32,hth33,target
3652,SC2003,0.9519531419275535,-0.05965422636996764,0.3883472349364323,0.6073846821335929,-0.09424211210583246,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3653,SC2003,0.9519531419275535,-0.05965422636996764,0.3883472349364323,0.6073846821335929,0.035491294831959,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3654,SC2003,0.9519531419275535,0.3883472349364327,-0.059654226369968005,0.6073846821335929,-0.09424211210583246,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3655,SC2003,0.9519531419275535,0.3883472349364327,-0.059654226369968005,0.6073846821335929,0.035491294831959,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3656,SC2003,0.9519531419275535,0.3883472349364327,0.3883472349364323,0.6073846821335929,-0.09424211210583246,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3657,SC2003,0.9519531419275535,0.3883472349364327,0.3883472349364323,0.6073846821335929,0.035491294831959,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3658,SC2004,0.6545523940713198,0.809995669107162,0.8099956691071617,0.7223030771689009,1.7220255850232462,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3659,SC2004,0.6545523940713198,0.809995669107162,0.8099956691071617,0.7223030771689009,-0.09424211210583246,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3660,SC2004,0.6545523940713198,0.809995669107162,-0.059654226369968005,0.7223030771689009,1.7220255850232462,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3661,SC2004,0.6545523940713198,0.809995669107162,-0.059654226369968005,0.7223030771689009,-0.09424211210583246,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3662,SC2004,0.6545523940713198,-0.05965422636996764,0.8099956691071617,0.7223030771689009,1.7220255850232462,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3663,SC2004,0.6545523940713198,-0.05965422636996764,0.8099956691071617,0.7223030771689009,-0.09424211210583246,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3664,SC2004,0.6545523940713198,-0.05965422636996764,-0.059654226369968005,0.7223030771689009,1.7220255850232462,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3665,SC2004,0.6545523940713198,-0.05965422636996764,-0.059654226369968005,0.7223030771689009,-0.09424211210583246,-0.15176480262624725,-0.15390259670022027,-0.15486171256858325,1.9162292528873526,-0.13858039270520414,-0.18168639017387783,-0.14075872956105834,Medium
3666,SC2005,0.5010552338874573,0.809995669107162,0.8099956691071617,0.9234102684806897,1.6571588815543505,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3667,SC2005,0.5010552338874573,0.809995669107162,0.8099956691071617,0.9234102684806897,-0.09424211210583246,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3668,SC2005,0.5010552338874573,0.809995669107162,-0.059654226369968005,0.9234102684806897,1.6571588815543505,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3669,SC2005,0.5010552338874573,0.809995669107162,-0.059654226369968005,0.9234102684806897,-0.09424211210583246,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3670,SC2005,0.5010552338874573,-0.05965422636996764,0.8099956691071617,0.9234102684806897,1.6571588815543505,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3671,SC2005,0.5010552338874573,-0.05965422636996764,0.8099956691071617,0.9234102684806897,-0.09424211210583246,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3672,SC2005,0.5010552338874573,-0.05965422636996764,-0.059654226369968005,0.9234102684806897,1.6571588815543505,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3673,SC2005,0.5010552338874573,-0.05965422636996764,-0.059654226369968005,0.9234102684806897,-0.09424211210583246,1.7248279274351406,-0.14996415946697014,-0.15209835773094108,1.9720648523879207,-0.1391509037451822,-0.17967780551013168,-0.14061434082996865,Medium
3674,SC2006,1.0478888670424664,0.6255244791574683,0.625524479157468,1.2538006542072,2.1112258058366207,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3675,SC2006,1.0478888670424664,0.6255244791574683,0.625524479157468,1.2538006542072,-0.09424211210583246,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3676,SC2006,1.0478888670424664,0.6255244791574683,-0.059654226369968005,1.2538006542072,2.1112258058366207,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3677,SC2006,1.0478888670424664,0.6255244791574683,-0.059654226369968005,1.2538006542072,-0.09424211210583246,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3678,SC2006,1.0478888670424664,-0.05965422636996764,0.625524479157468,1.2538006542072,2.1112258058366207,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3679,SC2006,1.0478888670424664,-0.05965422636996764,0.625524479157468,1.2538006542072,-0.09424211210583246,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3680,SC2006,1.0478888670424664,-0.05965422636996764,-0.059654226369968005,1.2538006542072,2.1112258058366207,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
