,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: P,safe1112: S,safe1920: 1,safe1920: 2,safe212223
22,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
23,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
24,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
25,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
26,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
27,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
28,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
29,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
30,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
31,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
32,AK2022,-1.0891752688296297,-1.7847513227105587,-0.24440776058497646,-0.24246332754293626,-0.16116118986889552,-0.2163385743611043,1.3020549931637688,-0.11312648485167993,-0.22977569301827647,-0.24396245104077022,-0.23629527114541327,-0.2509750120894191,-1.318947940708824,1.059166931559635,0.1487698195854659
33,AK2023,-0.3729557606841557,-0.054680574081325845,-0.2482562575428624,-0.24759447132086765,-0.16116118986889552,-0.2265157839112878,1.0831861577934583,-0.13519582996380738,-0.21861299170852588,-0.2457987361342139,-0.24169721696788546,-0.26134341437637076,0.01797544041851785,-0.13354132455406723,0.1487698195854659
34,AK2024,-0.3729557606841557,-0.054680574081325845,-0.17307631697020656,-0.1752423078722848,-0.16116118986889552,-0.18302559651671482,0.8643173224231478,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-0.13354132455406723,0.1487698195854659
35,AL2000,-0.3729557606841557,-0.054680574081325845,-0.19935946286088507,-0.2096422244426769,-0.2426534633304477,-0.20970126378489767,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-0.13354132455406723,0.1487698195854659
36,AL2001,-0.3729557606841557,-0.054680574081325845,-0.19903129645362347,-0.21155501768533772,-0.2372004487493773,-0.20186291605680604,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-0.13354132455406723,0.1487698195854659
37,AL2002,0.701373501534055,-0.19885313646709538,-0.18551680713639604,-0.19877270093676308,-0.23553424984960578,-0.18713440782579513,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,-0.6504862501451536,-1.6670233681288265,0.1487698195854659
38,AL2003,1.4175930096795288,-0.19885313646709538,-0.18190697665651853,-0.19494711445144144,-0.22341643966944932,-0.1827727465900022,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,-0.6504862501451536,-1.3262495806677685,0.1487698195854659
39,AL2004,1.4175930096795288,-0.3430256988528641,-0.17140565162414756,-0.18802462462085948,-0.2129648283890644,-0.17935927257938164,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-1.3262495806677685,0.1487698195854659
40,AL2005,1.0594832556067917,-0.3430256988528641,-0.16406665742538828,-0.1809503258027647,-0.2241738028057091,-0.14591986977163585,-0.23002685442840473,-0.2408365922284763,-0.2038985218002183,-0.20579749869325095,-0.0238406945908666,-0.01040339236002885,-0.6504862501451536,-1.6670233681288265,-0.3931773803330164
41,AL2006,1.0594832556067917,-0.48719826123863363,-0.16564782284219415,-0.17502977528976696,-0.2146310272888359,-0.17562973616037028,-0.23002685442840473,-0.23905157166793659,-0.2038985218002183,-0.20748489580614518,-0.023511307650471956,0.025762582283743007,-1.318947940708824,-1.8374102618593553,-0.3931773803330164
42,AL2007,0.701373501534055,-0.3430256988528641,-0.16114299306978502,-0.16995935510684068,-0.2203869871244102,-0.16538931412850863,-0.23002685442840473,-0.24667847769933357,-0.2038985218002183,-0.2082624219267925,-0.01586953063331617,0.005889811233752328,-1.318947940708824,-1.4966364743982976,-0.3931773803330164
43,AL2008,0.34326374746131827,-0.19885313646709538,-0.17167415141190703,-0.1712345506019479,-0.20630003278997833,-0.1734805117833129,-0.23002685442840473,-0.2492748712419368,-0.2038985218002183,-0.2109258624677334,-0.005263271152608568,0.007494444921018657,-0.6504862501451536,-1.3262495806677685,-0.3931773803330164
44,AL2009,0.34326374746131827,-0.48719826123863363,-0.1855466404461471,-0.19291287401877044,-0.1779746514938626,-0.18043388476791034,-0.44889568979871525,-0.2494371458383495,-0.2038985218002183,-0.22192702991944568,-0.005131516376450709,-0.04410069979262174,-0.6504862501451536,-1.3262495806677685,-0.3931773803330164
45,AL2010,0.34326374746131827,-0.7755433860101727,-0.1873664723409614,-0.19640448073156397,-0.1814585219206576,-0.2000929665698176,-0.23002685442840473,-0.2543053837307306,-0.2038985218002183,-0.21805594242515897,0.025567346468330296,-0.02583256242989739,-0.6504862501451536,-1.3262495806677685,-0.9351245802514995
46,AL2011,0.34326374746131827,-0.7755433860101727,-0.18142964370050166,-0.18507953026311186,-0.20660297804448224,-0.19844944204618548,-0.23002685442840473,-0.25073534260965114,-0.2038985218002183,-0.22296924578329214,0.0009292033268107767,-0.05335820183454286,-0.6504862501451536,-1.3262495806677685,-0.9351245802514995
47,AL2012,0.34326374746131827,-0.6313708236244032,-0.19631646526627755,-0.17891608537009368,-0.18433650183844474,-0.2073624019628058,-0.23002685442840473,-0.253007186959429,-0.2312978795605152,-0.2162031142227653,0.02932235758882926,-0.029535563246665838,-1.318947940708824,-1.3262495806677685,-0.9351245802514995
48,AL2013,-0.014846006611418971,-0.48719826123863363,-0.18694880600444663,-0.19212346728370405,-0.19478811311882968,-0.21241940049705849,-0.23002685442840473,-0.25187126478454,-0.2038985218002183,-0.22058703809450028,0.011601340195597306,-0.06261570387646398,-1.318947940708824,-1.1558626869372401,-1.4770717801699818
49,AL2014,-0.3729557606841557,-0.054680574081325845,-0.1819964765857717,-0.18835860439338753,-0.190243934301271,-0.21551681209928825,-0.23002685442840473,-0.25349401074866706,-0.23992360329986792,-0.21767545091931026,-0.007832489287686806,-0.0654546711693198,-1.318947940708824,-1.3262495806677685,0.1487698195854659
50,AL2015,-0.7310655147568926,-0.3430256988528641,-0.1711968184558902,-0.18201298871535404,-0.19569694888234143,-0.21595929947103534,-0.23002685442840473,-0.2536562853450798,-0.23535704367315177,-0.22121567623459815,0.013116520121412678,-0.10149721245253271,-1.318947940708824,-1.3262495806677685,-2.0190189800884646
51,AL2016,-0.7310655147568926,-0.7755433860101727,-0.1662146557274642,-0.17943223592763707,-0.19706020252760903,-0.21248261297873663,-0.011158019058094222,-0.25154671559171465,-0.23028308853235605,-0.20776612865829422,0.07714934133413186,-0.0905116433627863,-1.318947940708824,-0.9854757932067111,-2.0190189800884646
52,AL2017,-0.3729557606841557,-0.9197159483959423,-0.15657849667787377,-0.1778230606600018,-0.19690872990035707,-0.20028260401485207,0.2077108163122163,-0.2504107934168257,-0.22317955133524203,-0.1983696427747264,0.09829598290746813,-0.08668520918545891,-0.6504862501451536,-0.4743151120151247,-2.0190189800884646
53,AL2018,-0.7310655147568926,-1.2080610731674806,-0.15756299589965855,-0.1717507011594913,-0.16540242343195027,-0.19535203044395572,0.4265796516825268,-0.25089761720606385,-0.23079048404643562,-0.19127264903520072,0.1403916338899039,-0.037558731682997476,-0.6504862501451536,-0.6447020057456536,-2.560966180006947
54,AL2019,-0.3729557606841557,-0.054680574081325845,-0.1598601607504897,-0.16033466529853152,-0.16146413512339944,-0.17373336171002554,0.4265796516825268,-0.25316946155584164,-0.2257165289056399,-0.20009012610552052,0.1354508297839842,-0.03089333021281427,0.01797544041851785,-0.13354132455406723,0.1487698195854659
55,AL2020,-0.3729557606841557,-0.054680574081325845,-0.17420998274074662,-0.17111310341193767,-0.14964927019774688,-0.16911885054751996,0.4265796516825268,-0.2536562853450798,-0.22825350647603776,-0.19300967547494477,0.10007467238559922,-0.014970426700709936,0.01797544041851785,-0.13354132455406723,0.1487698195854659
56,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
57,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
