,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,educ17,educ18,educ19
1186,NH1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,770.0,218.0,122.0,1267.0,,,
1187,NH1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.0,761.0,193.0,123.0,1310.0,,,
1188,NH1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.0,814.0,171.0,121.0,1454.0,,,
1189,NH2000,,,,,,,,,0.02,,,,0.11,0.27,0.07,0.45,0.1,N.A.,N.A.,N.A.,N.A.,,,,,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,340.0,791.0,219.0,249.0,1599.0,,0.1,0.36
1190,NH2001,,,,,,,,,0.02,,,,0.11,0.24,0.07,0.47,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,877.0,115.0,219.0,1664.0,,0.07,0.35
1191,NH2002,,,,,,,,,0.01,,,,0.08,0.24,0.06,0.5,0.12,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,N.A.,N.A.,N.A.,N.A.,,,,,,534.0,827.0,112.0,237.0,1710.0,,0.1,0.36
1192,NH2003,,,,,,,,,0.02,0.077,0.028,0.055,0.12,0.28,0.07,0.45,0.08,0.79,0.35,0.21,0.65,0.81,0.4,0.19,0.6,,,,,0.87,0.43,0.13,0.57,,,,,,,,,0.24,,,,,611.0,919.0,77.0,329.0,1936.0,,0.08,0.44
1193,NH2004,,,,,,,,,0.02,,,,0.09,0.27,0.1,0.47,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0,967.0,65.0,315.0,1895.0,,0.1,0.43
1194,NH2005,0.1,0.23,0.14,0.48,0.06,,,,0.02,,,,0.11,0.25,0.09,0.47,0.07,0.77,0.35,0.23,0.65,0.8,0.38,0.2,0.62,,,,,0.89,0.47,0.11,0.53,0.83,0.37,0.17,0.63,,,,,0.21,,,,,654.0,923.0,60.0,316.0,1953.0,0.19,0.11,0.41
1195,NH2006,0.11,0.24,0.13,0.45,0.07,,,,0.01,,,,0.11,0.27,0.09,0.48,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,935.0,78.0,327.0,1959.0,0.18,0.08,0.52
1196,NH2007,0.11,0.25,0.13,0.44,0.07,,,,0.01,0.056,0.056,0.056,0.1,0.26,0.1,0.48,0.07,0.78,0.38,0.22,0.62,0.82,0.37,0.18,0.63,0.9,0.39,0.1,0.61,0.91,0.52,0.09,0.48,,,,,,,,,0.19,,,,,679.0,981.0,49.0,325.0,2034.0,0.17,0.09,0.54
1197,NH2008,0.11,0.25,0.14,0.45,0.06,,,,0.01,,,,0.1,0.26,0.1,0.47,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.0,990.0,49.0,341.0,2117.0,0.16,,0.53
1198,NH2009,0.12,0.25,0.13,0.45,0.06,,,,0.02,,,,0.09,0.27,0.1,0.47,0.07,0.82,0.43,0.18,0.57,0.81,0.39,0.19,0.61,,,,,0.92,0.56,0.08,0.44,,,,,,,,,0.17,0.77,0.53,0.55,0.71,697.0,966.0,38.0,355.0,2056.0,0.14,,0.5
1199,NH2010,0.11,0.24,0.14,0.45,0.06,,,,0.01,,,,0.1,0.26,0.09,0.48,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.0,998.0,1.0,480.0,2227.0,0.13,,0.52
1200,NH2011,0.1,0.24,0.15,0.44,0.07,3,0.05,0.05,0.01,0.081,0.064,0.073,0.08,0.27,0.1,0.47,0.08,0.82,0.44,0.18,0.56,0.84,0.4,0.16,0.6,,,,,0.92,0.57,0.08,0.43,,,,,,,,,0.18,0.75,0.5,0.51,0.73,739.0,1041.0,8.0,453.0,2241.0,0.13,,0.52
1201,NH2012,0.11,0.24,0.14,0.45,0.06,,,,0.02,,,,0.09,0.28,0.1,0.45,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,1025.0,2.0,458.0,2174.0,0.13,,0.55
1202,NH2013,0.11,0.26,0.14,0.45,0.04,2,0.05,0.05,0.01,,,,0.1,0.25,0.09,0.5,0.06,0.84,0.47,0.16,0.53,0.84,0.44,0.16,0.56,,,,,0.93,0.59,0.07,0.41,,,,,,,,,0.18,0.76,0.47,0.5,0.68,749.0,1001.0,0.0,544.0,2294.0,,,0.55
1203,NH2014,0.1,0.25,0.16,0.42,0.05,,,,0.01,,,,0.09,0.26,0.11,0.47,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0,849.0,0.0,521.0,2063.0,,,0.53
