,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
0,AK2000,0.04,,0.13,0.33,,,0.49,,,,,,,
1,AK2001,0.02,,0.09,0.21,,,0.41,,,,,,,
2,AK2002,0.04,,0.1,0.21,,,0.41,,,,,,,
3,AK2003,0.03,,0.14,0.18,,,0.4,,,,,,,
4,AK2004,0.06,,0.11,0.17,,,0.4,,,,,,,
5,AK2005,0.06,0.18,0.15,0.23,,0.28,0.41,,,63100.0,,,,
6,AK2006,0.06,,0.15,0.25,0.65,0.33,0.42,,,60800.0,,,,
7,AK2007,0.04,,0.11,0.22,0.64,0.31,0.39,0.07,,67000.0,0.05,,,
8,AK2008,0.04,0.18,0.11,0.21,0.65,0.32,,0.08,0.13,73100.0,0.05,0.11,0.13,0.15
9,AK2009,0.05,,0.13,0.22,0.65,0.34,,0.09,0.13,71500.0,0.07,0.12,0.16,0.19
10,AK2010,0.05,0.23,0.13,0.24,0.64,0.31,,0.09,0.13,72700.0,0.06,0.11,0.17,0.21
11,AK2011,0.07,,0.15,0.27,0.6,0.32,,0.07,0.17,68700.0,0.05,0.1,0.16,0.19
12,AK2012,0.05,,0.14,0.25,0.61,0.34,,0.07,0.15,72000.0,0.05,0.1,0.15,0.19
13,AK2013,0.06,0.23,0.12,0.25,0.59,0.27,,0.06,0.14,77400.0,0.05,0.08,0.14,0.17
14,AK2014,0.06,0.25,0.16,0.25,0.62,0.33,,0.09,0.15,74800.0,0.06,0.11,0.15,0.17
15,AK2015,0.06,0.25,0.15,0.24,0.59,0.31,,0.08,0.14,75500.0,0.06,0.09,0.15,0.19
16,AK2016,0.06,0.22,0.14,0.26,0.63,0.28,,0.08,0.13,79500.0,0.06,0.11,0.17,0.22
17,AK2017,0.07,0.22,0.15,0.26,0.63,0.31,,0.11,0.16,79400.0,0.08,0.07,0.14,0.2
18,AK2018,0.06,0.22,0.14,0.25,0.67,0.25,,0.06,0.13,90100.0,0.04,0.1,0.16,0.21
19,AK2019,0.04,0.2,0.13,0.26,0.62,0.3,,0.06,0.16,83700.0,0.05,0.12,0.15,0.18
20,AK2020,,,,,,,,0.08,,,0.06,,,
21,AK2021,0.06,0.26,0.12,0.21,0.7,0.3,,0.07,0.14,94000.0,0.07,0.14,0.17,0.2
22,AK2022,0.06,0.23,0.14,0.23,0.67,0.28,0.32,0.04,0.16,101900.0,0.03,0.08,0.15,0.19
23,AK2023,0.06,0.21,0.12,0.22,0.7,0.27,,0.06,0.14,101100.0,0.04,0.1,0.13,0.15
24,AK2024,0.07,0.21,0.13,,,,,0.06,,110500.0,0.05,,,
25,AL2000,0.12,,0.21,0.12,,,0.35,,,,,,,
26,AL2001,0.11,,0.23,0.08,,,0.35,,,,,,,
27,AL2002,0.12,,0.24,0.11,,,0.37,,,,,,,
28,AL2003,0.12,,0.24,0.1,,,0.35,,,,,,,
29,AL2004,0.1,,0.23,0.08,,,0.36,,,,,,,
30,AL2005,0.12,0.26,0.25,0.09,,0.27,0.36,,,43100.0,,,,
31,AL2006,0.11,,0.23,0.08,0.68,0.3,0.36,,,47100.0,,,,
32,AL2007,0.11,,0.24,0.09,0.66,0.3,0.37,0.04,,47700.0,0.03,,,
33,AL2008,0.1,0.24,0.22,0.09,0.66,0.3,,0.06,0.23,52600.0,0.05,0.1,0.16,0.21
34,AL2009,0.11,,0.25,0.09,0.65,0.33,,0.15,0.24,48100.0,0.12,0.1,0.16,0.22
35,AL2010,0.13,0.33,0.28,0.09,0.64,0.35,,0.12,0.23,47200.0,0.11,0.11,0.18,0.23
36,AL2011,0.12,,0.28,0.09,0.63,0.35,,0.1,0.24,48900.0,0.08,0.1,0.17,0.23
37,AL2012,0.14,,0.27,0.09,0.61,0.32,,0.11,0.26,50000.0,0.08,0.1,0.17,0.22
38,AL2013,0.13,0.33,0.27,0.08,0.6,0.31,,0.08,0.25,50100.0,0.07,0.1,0.18,0.24
39,AL2014,0.13,0.34,0.28,0.09,0.59,0.31,,0.08,0.27,49700.0,0.06,0.1,0.17,0.23
40,AL2015,0.13,0.34,0.27,0.08,0.61,0.29,,0.07,0.25,53100.0,0.06,0.07,0.15,0.21
41,AL2016,0.11,0.31,0.25,0.08,0.62,0.27,,0.07,0.25,56800.0,0.05,0.09,0.14,0.19
42,AL2017,0.11,0.31,0.25,0.09,0.63,0.24,,0.05,0.25,58200.0,0.03,0.09,0.15,0.2
43,AL2018,0.11,0.29,0.24,0.09,0.62,0.26,,0.05,0.24,62300.0,0.04,0.09,0.14,0.19
44,AL2019,0.1,0.28,0.21,0.08,0.64,0.24,,0.03,0.25,62400.0,0.02,0.07,0.13,0.18
45,AL2020,,,,,,,,0.08,,,0.06,,,
46,AL2021,0.1,0.31,0.22,0.08,0.67,0.26,,0.04,0.23,69100.0,0.03,0.1,0.14,0.18
47,AL2022,0.1,0.3,0.22,0.09,0.69,0.24,0.29,0.02,0.25,74600.0,0.02,0.07,0.12,0.16
48,AL2023,0.1,0.29,0.21,0.11,0.69,0.25,,0.02,0.25,77300.0,0.02,0.07,0.11,0.15
49,AL2024,0.1,0.27,0.2,,,,,0.04,,84000.0,0.03,,,
50,AR2000,0.1,,0.25,0.13,,,0.33,,,,,,,
51,AR2001,0.09,,0.21,0.11,,,0.34,,,,,,,
52,AR2002,0.1,,0.22,0.16,,,0.35,,,,,,,
53,AR2003,0.12,,0.24,0.15,,,0.37,,,,,,,
54,AR2004,0.12,,0.26,0.12,,,0.38,,,,,,,
55,AR2005,0.12,0.26,0.25,0.14,,0.29,0.36,,,41100.0,,,,
56,AR2006,0.11,,0.24,0.1,0.63,0.3,0.36,,,43300.0,,,,
57,AR2007,0.1,,0.26,0.11,0.62,0.31,0.39,0.07,,42900.0,0.05,,,
58,AR2008,0.11,0.28,0.25,0.11,0.63,0.31,,0.06,0.28,45100.0,0.04,0.12,0.17,0.21
59,AR2009,0.12,,0.27,0.12,0.61,0.32,,0.09,0.28,42100.0,0.07,0.1,0.17,0.23
60,AR2010,0.12,0.33,0.28,0.12,0.6,0.32,,0.1,0.29,42200.0,0.08,0.12,0.19,0.24
61,AR2011,0.13,,0.28,0.11,0.59,0.32,,0.09,0.28,44200.0,0.07,0.1,0.16,0.2
62,AR2012,0.13,,0.29,0.12,0.59,0.3,,0.08,0.3,45400.0,0.07,0.11,0.18,0.23
63,AR2013,0.13,0.33,0.29,0.13,0.58,0.3,,0.07,0.29,46500.0,0.06,0.1,0.17,0.22
64,AR2014,0.11,0.3,0.26,0.11,0.59,0.28,,0.08,0.29,47900.0,0.06,0.08,0.15,0.21
65,AR2015,0.11,0.31,0.27,0.13,0.57,0.29,,0.05,0.28,50300.0,0.04,0.09,0.15,0.2
66,AR2016,0.1,0.28,0.24,0.14,0.59,0.26,,0.05,0.28,51900.0,0.03,0.1,0.15,0.2
67,AR2017,0.1,0.27,0.22,0.12,0.6,0.24,,0.04,0.29,53600.0,0.03,0.08,0.15,0.2
68,AR2018,0.1,0.25,0.25,0.13,0.6,0.26,,0.04,0.28,55600.0,0.03,0.1,0.15,0.18
69,AR2019,0.09,0.23,0.22,0.13,0.61,0.22,,0.04,0.3,57300.0,0.03,0.07,0.13,0.18
70,AR2020,,,,,,,,0.06,,,0.05,,,
71,AR2021,0.1,0.25,0.22,0.12,0.63,0.25,,0.05,0.27,63700.0,0.04,0.1,0.15,0.2
72,AR2022,0.12,0.24,0.22,0.13,0.66,0.25,0.29,0.03,0.28,67600.0,0.03,0.11,0.15,0.19
73,AR2023,0.11,0.19,0.21,0.12,0.65,0.24,,0.04,0.29,72500.0,0.03,0.1,0.14,0.18
74,AR2024,0.09,0.2,0.2,,,,,0.04,,75500.0,0.03,,,
75,AZ2000,0.06,,0.23,0.25,,,0.31,,,,,,,
76,AZ2001,0.09,,0.19,0.22,,,0.32,,,,,,,
77,AZ2002,0.08,,0.2,0.22,,,0.34,,,,,,,
78,AZ2003,0.1,,0.21,0.2,,,0.36,,,,,,,
79,AZ2004,0.1,,0.2,0.19,,,0.34,,,,,,,
80,AZ2005,0.09,0.2,0.2,0.21,,0.37,0.35,,,47400.0,,,,
81,AZ2006,0.08,,0.2,0.21,0.64,0.39,0.32,,,51400.0,,,,
82,AZ2007,0.09,,0.2,0.2,0.64,0.42,0.33,0.04,,54300.0,0.03,,,
83,AZ2008,0.09,0.22,0.21,0.18,0.62,0.44,,0.06,0.24,56400.0,0.05,0.11,0.16,0.2
84,AZ2009,0.11,,0.23,0.18,0.6,0.43,,0.11,0.24,53000.0,0.1,0.11,0.17,0.22
85,AZ2010,0.12,0.3,0.24,0.2,0.58,0.43,,0.11,0.26,50000.0,0.09,0.12,0.19,0.24
86,AZ2011,0.12,,0.27,0.2,0.54,0.41,,0.09,0.27,49800.0,0.08,0.11,0.18,0.23
87,AZ2012,0.12,,0.27,0.22,0.53,0.38,,0.08,0.27,51000.0,0.07,0.11,0.17,0.22
88,AZ2013,0.13,0.33,0.26,0.2,0.53,0.35,,0.07,0.28,51900.0,0.05,0.1,0.17,0.23
89,AZ2014,0.12,0.32,0.26,0.2,0.52,0.34,,0.08,0.27,55300.0,0.06,0.08,0.15,0.2
90,AZ2015,0.11,0.31,0.25,0.2,0.53,0.34,,0.06,0.28,55600.0,0.05,0.09,0.15,0.19
91,AZ2016,0.11,0.3,0.24,0.21,0.55,0.32,,0.05,0.27,58100.0,0.04,0.09,0.13,0.17
92,AZ2017,0.09,0.28,0.21,0.2,0.58,0.32,,0.05,0.26,62300.0,0.04,0.08,0.13,0.16
93,AZ2018,0.08,0.26,0.2,0.2,0.59,0.29,,0.05,0.25,65700.0,0.04,0.08,0.13,0.17
94,AZ2019,0.09,0.23,0.19,0.19,0.61,0.28,,0.05,0.25,70200.0,0.04,0.08,0.12,0.16
95,AZ2020,,,,,,,,0.08,,,0.07,,,
96,AZ2021,0.09,0.28,0.17,0.2,0.64,0.29,,0.05,0.22,78500.0,0.04,0.08,0.12,0.15
97,AZ2022,0.08,0.25,0.16,0.18,0.65,0.29,0.25,0.04,0.23,84600.0,0.03,0.08,0.12,0.15
98,AZ2023,0.08,0.24,0.15,0.19,0.66,0.29,,0.04,0.22,92800.0,0.03,0.08,0.12,0.15
99,AZ2024,0.07,0.24,0.15,,,,,0.03,,100600.0,0.02,,,
100,"Alabama, Congressional District 1 (113th-117th)2012",0.15,,0.28,,,,,,,47714.0,,,,
101,"Alabama, Congressional District 1 (113th-117th)2013",0.13,,0.29,,,,,,,48900.0,,,,
102,"Alabama, Congressional District 1 (113th-117th)2014",0.12,,0.26,,,,,,,50900.0,,,,
103,"Alabama, Congressional District 1 (113th-117th)2015",0.12,,0.23,,,,,,,55400.0,,,,
104,"Alabama, Congressional District 1 (113th-117th)2016",0.14,,0.27,,,,,,,60100.0,,,,
105,"Alabama, Congressional District 1 (113th-117th)2017",0.12,,0.27,,,,,,,57100.0,,,,
106,"Alabama, Congressional District 1 (113th-117th)2018",0.13,,0.25,,,,,,,60700.0,,,,
107,"Alabama, Congressional District 1 (113th-117th)2019",0.13,,0.22,,,,,,,62300.0,,,,
108,"Alabama, Congressional District 1 (113th-117th)2021",0.12,,0.23,,,,,,,66800.0,,,,
109,"Alabama, Congressional District 1 (118th - current)2022",0.09,,0.23,,,,,,,73400.0,,,,
110,"Alabama, Congressional District 1 (118th - current)2023",0.13,,0.22,,,,,,,74400.0,,,,
111,"Alabama, Congressional District 1 (118th - current)2024",0.08,,0.19,,,,,,,84900.0,,,,
112,"Alabama, Congressional District 12005",,,0.29,,,,,,,,,,,
113,"Alabama, Congressional District 12006",0.16,,0.27,,,,,,,,,,,
114,"Alabama, Congressional District 12007",0.15,,0.27,,,,,,,,,,,
115,"Alabama, Congressional District 12008",0.11,,0.26,,,,,,,,,,,
116,"Alabama, Congressional District 12009",0.12,,0.27,,,,,,,,,,,
117,"Alabama, Congressional District 12010",0.15,,0.28,,,,,,,,,,,
118,"Alabama, Congressional District 12011",0.12,,0.28,,,,,,,48200.0,,,,
119,"Alabama, Congressional District 2 (113th-117th)2012",0.16,,0.28,,,,,,,46781.0,,,,
120,"Alabama, Congressional District 2 (113th-117th)2013",0.16,,0.3,,,,,,,45700.0,,,,
121,"Alabama, Congressional District 2 (113th-117th)2014",0.14,,0.29,,,,,,,47500.0,,,,
122,"Alabama, Congressional District 2 (113th-117th)2015",0.16,,0.3,,,,,,,45000.0,,,,
123,"Alabama, Congressional District 2 (113th-117th)2016",0.12,,0.29,,,,,,,46300.0,,,,
124,"Alabama, Congressional District 2 (113th-117th)2017",0.13,,0.29,,,,,,,50800.0,,,,
125,"Alabama, Congressional District 2 (113th-117th)2018",0.14,,0.27,,,,,,,56900.0,,,,
126,"Alabama, Congressional District 2 (113th-117th)2019",0.11,,0.25,,,,,,,53500.0,,,,
127,"Alabama, Congressional District 2 (113th-117th)2021",0.11,,0.24,,,,,,,58200.0,,,,
128,"Alabama, Congressional District 2 (118th - current)2022",0.14,,0.27,,,,,,,64100.0,,,,
129,"Alabama, Congressional District 2 (118th - current)2023",0.11,,0.23,,,,,,,67300.0,,,,
130,"Alabama, Congressional District 2 (118th - current)2024",0.15,,0.29,,,,,,,59000.0,,,,
131,"Alabama, Congressional District 22005",,,0.24,,,,,,,,,,,
132,"Alabama, Congressional District 22006",0.11,,0.25,,,,,,,,,,,
133,"Alabama, Congressional District 22007",0.12,,0.26,,,,,,,,,,,
134,"Alabama, Congressional District 22008",0.1,,0.21,,,,,,,,,,,
135,"Alabama, Congressional District 22009",0.14,,0.29,,,,,,,,,,,
136,"Alabama, Congressional District 22010",0.12,,0.27,,,,,,,,,,,
137,"Alabama, Congressional District 22011",0.14,,0.32,,,,,,,43100.0,,,,
138,"Alabama, Congressional District 3 (113th-117th)2012",0.14,,0.3,,,,,,,47096.0,,,,
139,"Alabama, Congressional District 3 (113th-117th)2013",0.15,,0.27,,,,,,,45400.0,,,,
140,"Alabama, Congressional District 3 (113th-117th)2014",0.15,,0.27,,,,,,,46700.0,,,,
141,"Alabama, Congressional District 3 (113th-117th)2015",0.13,,0.28,,,,,,,51300.0,,,,
142,"Alabama, Congressional District 3 (113th-117th)2016",0.08,,0.2,,,,,,,57800.0,,,,
143,"Alabama, Congressional District 3 (113th-117th)2017",0.12,,0.24,,,,,,,53800.0,,,,
144,"Alabama, Congressional District 3 (113th-117th)2018",0.11,,0.22,,,,,,,61500.0,,,,
145,"Alabama, Congressional District 3 (113th-117th)2019",0.09,,0.17,,,,,,,67300.0,,,,
146,"Alabama, Congressional District 3 (113th-117th)2021",0.12,,0.25,,,,,,,62700.0,,,,
147,"Alabama, Congressional District 3 (118th - current)2022",0.11,,0.23,,,,,,,65700.0,,,,
148,"Alabama, Congressional District 3 (118th - current)2023",0.1,,0.18,,,,,,,77100.0,,,,
149,"Alabama, Congressional District 3 (118th - current)2024",0.11,,0.22,,,,,,,81000.0,,,,
150,"Alabama, Congressional District 32005",,,0.24,,,,,,,,,,,
151,"Alabama, Congressional District 32006",0.12,,0.25,,,,,,,,,,,
152,"Alabama, Congressional District 32007",0.12,,0.26,,,,,,,,,,,
153,"Alabama, Congressional District 32008",0.12,,0.25,,,,,,,,,,,
154,"Alabama, Congressional District 32009",0.12,,0.25,,,,,,,,,,,
155,"Alabama, Congressional District 32010",0.15,,0.33,,,,,,,,,,,
156,"Alabama, Congressional District 32011",0.12,,0.28,,,,,,,44300.0,,,,
157,"Alabama, Congressional District 4 (113th-117th)2012",0.12,,0.29,,,,,,,43311.0,,,,
158,"Alabama, Congressional District 4 (113th-117th)2013",0.1,,0.24,,,,,,,47000.0,,,,
159,"Alabama, Congressional District 4 (113th-117th)2014",0.12,,0.3,,,,,,,46500.0,,,,
160,"Alabama, Congressional District 4 (113th-117th)2015",0.13,,0.3,,,,,,,46800.0,,,,
161,"Alabama, Congressional District 4 (113th-117th)2016",0.13,,0.27,,,,,,,50000.0,,,,
162,"Alabama, Congressional District 4 (113th-117th)2017",0.12,,0.26,,,,,,,57500.0,,,,
163,"Alabama, Congressional District 4 (113th-117th)2018",0.13,,0.27,,,,,,,55500.0,,,,
164,"Alabama, Congressional District 4 (113th-117th)2019",0.1,,0.22,,,,,,,60200.0,,,,
165,"Alabama, Congressional District 4 (113th-117th)2021",0.09,,0.22,,,,,,,71400.0,,,,
166,"Alabama, Congressional District 4 (118th - current)2022",0.12,,0.25,,,,,,,70500.0,,,,
167,"Alabama, Congressional District 4 (118th - current)2023",0.09,,0.24,,,,,,,71000.0,,,,
168,"Alabama, Congressional District 4 (118th - current)2024",0.1,,0.22,,,,,,,82300.0,,,,
169,"Alabama, Congressional District 42005",,,0.22,,,,,,,,,,,
170,"Alabama, Congressional District 42006",0.13,,0.22,,,,,,,,,,,
171,"Alabama, Congressional District 42007",0.11,,0.25,,,,,,,,,,,
172,"Alabama, Congressional District 42008",0.1,,0.22,,,,,,,,,,,
173,"Alabama, Congressional District 42009",0.11,,0.26,,,,,,,,,,,
174,"Alabama, Congressional District 42010",0.13,,0.31,,,,,,,,,,,
175,"Alabama, Congressional District 42011",0.12,,0.28,,,,,,,46300.0,,,,
176,"Alabama, Congressional District 5 (113th-117th)2012",0.08,,0.19,,,,,,,60915.0,,,,
177,"Alabama, Congressional District 5 (113th-117th)2013",0.08,,0.23,,,,,,,59400.0,,,,
178,"Alabama, Congressional District 5 (113th-117th)2014",0.1,,0.23,,,,,,,56600.0,,,,
179,"Alabama, Congressional District 5 (113th-117th)2015",0.1,,0.22,,,,,,,60800.0,,,,
180,"Alabama, Congressional District 5 (113th-117th)2016",0.09,,0.2,,,,,,,67200.0,,,,
181,"Alabama, Congressional District 5 (113th-117th)2017",0.08,,0.2,,,,,,,66100.0,,,,
182,"Alabama, Congressional District 5 (113th-117th)2018",0.07,,0.18,,,,,,,72300.0,,,,
183,"Alabama, Congressional District 5 (113th-117th)2019",0.07,,0.19,,,,,,,70700.0,,,,
184,"Alabama, Congressional District 5 (113th-117th)2021",0.06,,0.15,,,,,,,89200.0,,,,
185,"Alabama, Congressional District 5 (118th - current)2022",0.05,,0.15,,,,,,,96300.0,,,,
186,"Alabama, Congressional District 5 (118th - current)2023",0.07,,0.13,,,,,,,99300.0,,,,
187,"Alabama, Congressional District 5 (118th - current)2024",0.07,,0.14,,,,,,,101300.0,,,,
188,"Alabama, Congressional District 52005",,,0.22,,,,,,,,,,,
189,"Alabama, Congressional District 52006",0.08,,0.19,,,,,,,,,,,
190,"Alabama, Congressional District 52007",0.08,,0.21,,,,,,,,,,,
191,"Alabama, Congressional District 52008",0.08,,0.18,,,,,,,,,,,
192,"Alabama, Congressional District 52009",0.08,,0.19,,,,,,,,,,,
193,"Alabama, Congressional District 52010",0.1,,0.22,,,,,,,,,,,
194,"Alabama, Congressional District 52011",0.1,,0.23,,,,,,,52100.0,,,,
195,"Alabama, Congressional District 6 (113th-117th)2012",0.07,,0.15,,,,,,,72464.0,,,,
196,"Alabama, Congressional District 6 (113th-117th)2013",0.08,,0.18,,,,,,,71700.0,,,,
197,"Alabama, Congressional District 6 (113th-117th)2014",0.06,,0.16,,,,,,,75700.0,,,,
198,"Alabama, Congressional District 6 (113th-117th)2015",0.06,,0.13,,,,,,,78400.0,,,,
199,"Alabama, Congressional District 6 (113th-117th)2016",0.05,,0.13,,,,,,,81800.0,,,,
200,"Alabama, Congressional District 6 (113th-117th)2017",0.06,,0.13,,,,,,,82000.0,,,,
201,"Alabama, Congressional District 6 (113th-117th)2018",0.05,,0.13,,,,,,,89200.0,,,,
202,"Alabama, Congressional District 6 (113th-117th)2019",0.04,,0.12,,,,,,,93400.0,,,,
203,"Alabama, Congressional District 6 (113th-117th)2021",0.05,,0.11,,,,,,,93600.0,,,,
204,"Alabama, Congressional District 6 (118th - current)2022",0.05,,0.11,,,,,,,109000.0,,,,
205,"Alabama, Congressional District 6 (118th - current)2023",0.05,,0.14,,,,,,,99200.0,,,,
206,"Alabama, Congressional District 6 (118th - current)2024",0.07,,0.12,,,,,,,108800.0,,,,
207,"Alabama, Congressional District 62005",,,0.1,,,,,,,,,,,
208,"Alabama, Congressional District 62006",0.04,,0.09,,,,,,,,,,,
209,"Alabama, Congressional District 62007",0.03,,0.1,,,,,,,,,,,
210,"Alabama, Congressional District 62008",0.03,,0.1,,,,,,,,,,,
211,"Alabama, Congressional District 62009",0.05,,0.12,,,,,,,,,,,
212,"Alabama, Congressional District 62010",0.08,,0.15,,,,,,,,,,,
213,"Alabama, Congressional District 62011",0.05,,0.15,,,,,,,72400.0,,,,
214,"Alabama, Congressional District 7 (113th-117th)2012",0.25,,0.44,,,,,,,31350.0,,,,
215,"Alabama, Congressional District 7 (113th-117th)2013",0.23,,0.41,,,,,,,32800.0,,,,
216,"Alabama, Congressional District 7 (113th-117th)2014",0.22,,0.44,,,,,,,29500.0,,,,
217,"Alabama, Congressional District 7 (113th-117th)2015",0.19,,0.42,,,,,,,32700.0,,,,
218,"Alabama, Congressional District 7 (113th-117th)2016",0.21,,0.37,,,,,,,38100.0,,,,
219,"Alabama, Congressional District 7 (113th-117th)2017",0.16,,0.35,,,,,,,37900.0,,,,
220,"Alabama, Congressional District 7 (113th-117th)2018",0.18,,0.36,,,,,,,38900.0,,,,
221,"Alabama, Congressional District 7 (113th-117th)2019",0.19,,0.34,,,,,,,35000.0,,,,
222,"Alabama, Congressional District 7 (113th-117th)2021",0.18,,0.39,,,,,,,37700.0,,,,
223,"Alabama, Congressional District 7 (118th - current)2022",0.17,,0.31,,,,,,,54600.0,,,,
224,"Alabama, Congressional District 7 (118th - current)2023",0.18,,0.36,,,,,,,51700.0,,,,
225,"Alabama, Congressional District 7 (118th - current)2024",0.13,,0.25,,,,,,,65800.0,,,,
226,"Alabama, Congressional District 72005",,,0.44,,,,,,,,,,,
227,"Alabama, Congressional District 72006",0.18,,0.36,,,,,,,,,,,
228,"Alabama, Congressional District 72007",0.18,,0.37,,,,,,,,,,,
229,"Alabama, Congressional District 72008",0.15,,0.33,,,,,,,,,,,
230,"Alabama, Congressional District 72009",0.18,,0.37,,,,,,,,,,,
231,"Alabama, Congressional District 72010",0.19,,0.42,,,,,,,,,,,
232,"Alabama, Congressional District 72011",0.21,,0.43,,,,,,,33500.0,,,,
233,CA2000,0.08,,0.2,0.32,,,0.35,,,,,,,
234,CA2001,0.07,,0.18,0.31,,,0.35,,,,,,,
235,CA2002,0.07,,0.19,0.32,,,0.36,,,,,,,
236,CA2003,0.07,,0.19,0.3,,,0.35,,,,,,,
237,CA2004,0.08,,0.19,0.28,,,0.36,,,,,,,
238,CA2005,0.07,0.16,0.19,0.28,,0.51,0.36,,,56300.0,,,,
239,CA2006,0.07,,0.18,0.27,0.56,0.54,0.35,,,60200.0,,,,
240,CA2007,0.07,,0.17,0.26,0.55,0.55,0.35,0.06,,62000.0,0.04,,,
241,CA2008,0.07,0.17,0.18,0.26,0.54,0.55,,0.08,0.21,64200.0,0.06,0.08,0.13,0.17
242,CA2009,0.08,,0.2,0.28,0.52,0.54,,0.13,0.22,61000.0,0.1,0.08,0.15,0.2
243,CA2010,0.09,0.24,0.22,0.29,0.5,0.54,,0.13,0.22,59100.0,0.11,0.08,0.15,0.2
244,CA2011,0.1,,0.23,0.28,0.49,0.52,,0.13,0.23,59100.0,0.1,0.09,0.15,0.2
245,CA2012,0.1,,0.24,0.28,0.47,0.51,,0.11,0.24,60400.0,0.09,0.08,0.15,0.2
246,CA2013,0.1,0.27,0.23,0.28,0.47,0.48,,0.1,0.24,61400.0,0.08,0.08,0.14,0.18
247,CA2014,0.09,0.27,0.23,0.28,0.47,0.47,,0.08,0.24,64800.0,0.06,0.07,0.13,0.18
248,CA2015,0.09,0.27,0.21,0.28,0.47,0.45,,0.07,0.24,66400.0,0.05,0.07,0.12,0.17
249,CA2016,0.08,0.27,0.2,0.28,0.47,0.44,,0.06,0.23,71500.0,0.05,0.06,0.11,0.15
250,CA2017,0.07,0.25,0.18,0.28,0.49,0.43,,0.05,0.22,76900.0,0.04,0.07,0.11,0.15
251,CA2018,0.07,0.24,0.17,0.28,0.5,0.42,,0.05,0.21,81400.0,0.03,0.06,0.11,0.14
252,CA2019,0.06,0.21,0.16,0.28,0.5,0.41,,0.04,0.21,85300.0,0.03,0.06,0.1,0.14
253,CA2020,,,,,,,,0.11,,,0.08,,,
254,CA2021,0.07,0.27,0.16,0.27,0.53,0.4,,0.08,0.17,93600.0,0.06,0.07,0.12,0.17
255,CA2022,0.07,0.26,0.15,0.27,0.54,0.41,0.28,0.04,0.19,101700.0,0.03,0.06,0.11,0.15
256,CA2023,0.07,0.26,0.15,0.27,0.54,0.41,,0.05,0.19,104400.0,0.03,0.07,0.11,0.14
257,CA2024,0.07,0.26,0.15,,,,,0.05,,111700.0,0.04,,,
258,CO2000,0.03,,0.1,0.14,,,0.34,,,,,,,
259,CO2001,0.06,,0.13,0.1,,,0.27,,,,,,,
260,CO2002,0.05,,0.12,0.12,,,0.29,,,,,,,
261,CO2003,0.06,,0.13,0.1,,,0.31,,,,,,,
262,CO2004,0.07,,0.15,0.09,,,0.31,,,,,,,
263,CO2005,0.06,0.13,0.14,0.09,,0.38,0.31,,,58400.0,,,,
264,CO2006,0.07,,0.16,0.09,0.7,0.41,0.31,,,60800.0,,,,
265,CO2007,0.08,,0.16,0.1,0.68,0.4,0.31,0.04,,63800.0,0.03,,,
266,CO2008,0.05,0.12,0.15,0.1,0.66,0.38,,0.04,0.2,67000.0,0.03,0.08,0.11,0.13
267,CO2009,0.08,,0.17,0.11,0.66,0.38,,0.09,0.19,66000.0,0.06,0.08,0.13,0.17
268,CO2010,0.08,0.19,0.17,0.12,0.64,0.39,,0.11,0.19,63700.0,0.08,0.07,0.12,0.16
269,CO2011,0.08,,0.18,0.12,0.63,0.38,,0.09,0.19,64700.0,0.07,0.08,0.13,0.17
270,CO2012,0.08,,0.18,0.12,0.61,0.36,,0.08,0.2,65900.0,0.06,0.08,0.12,0.16
271,CO2013,0.07,0.21,0.17,0.11,0.62,0.34,,0.07,0.21,68100.0,0.05,0.06,0.11,0.15
272,CO2014,0.07,0.21,0.15,0.12,0.62,0.32,,0.04,0.21,72000.0,0.03,0.06,0.11,0.14
273,CO2015,0.06,0.19,0.15,0.12,0.63,0.31,,0.04,0.19,76600.0,0.03,0.07,0.11,0.13
274,CO2016,0.05,0.18,0.13,0.11,0.64,0.31,,0.03,0.19,78000.0,0.03,0.07,0.1,0.13
275,CO2017,0.05,0.16,0.12,0.12,0.65,0.31,,0.03,0.18,82900.0,0.02,0.05,0.09,0.11
276,CO2018,0.05,0.15,0.12,0.1,0.67,0.3,,0.03,0.18,87700.0,0.02,0.06,0.09,0.12
277,CO2019,0.05,0.16,0.11,0.11,0.68,0.3,,0.03,0.17,92500.0,0.02,0.05,0.09,0.11
278,CO2020,,,,,,,,0.07,,,0.06,,,
279,CO2021,0.06,0.19,0.12,0.1,0.71,0.3,,0.07,0.14,102300.0,0.05,0.07,0.11,0.14
280,CO2022,0.06,0.19,0.11,0.11,0.72,0.3,0.22,0.03,0.16,110400.0,0.02,0.06,0.09,0.11
281,CO2023,0.06,0.19,0.11,0.11,0.71,0.31,,0.03,0.15,118700.0,0.02,0.06,0.08,0.1
282,CO2024,0.06,0.18,0.11,,,,,0.05,,124700.0,0.03,,,
283,CT2000,0.04,,0.11,0.07,,,0.26,,,,,,,
284,CT2001,0.05,,0.1,0.07,,,0.25,,,,,,,
285,CT2002,0.05,,0.1,0.07,,,0.28,,,,,,,
286,CT2003,0.05,,0.11,0.06,,,0.28,,,,,,,
287,CT2004,0.06,,0.1,0.08,,,0.27,,,,,,,
288,CT2005,0.06,0.12,0.12,0.07,,0.38,0.29,,,76300.0,,,,
289,CT2006,0.05,,0.11,0.06,0.72,0.41,0.28,,,77800.0,,,,
