,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
976,NY2018,0.09,0.26,0.19,0.2,0.53,0.38,,0.04,0.21,80100.0,0.03,0.06,0.11,0.15
977,NY2019,0.08,0.24,0.18,0.2,0.54,0.37,,0.04,0.2,83600.0,0.03,0.06,0.11,0.14
978,NY2020,,,,,,,,0.12,,,0.09,,,
979,NY2021,0.09,0.28,0.19,0.2,0.57,0.38,,0.08,0.16,89800.0,0.06,0.06,0.13,0.18
980,NY2022,0.1,0.3,0.19,0.21,0.56,0.38,0.3,0.04,0.19,97100.0,0.03,0.06,0.11,0.15
981,NY2023,0.09,0.29,0.19,0.21,0.57,0.38,,0.04,0.2,100200.0,0.03,0.06,0.11,0.15
982,NY2024,0.09,0.29,0.18,,,,,0.04,,104100.0,0.03,,,
983,OH2000,0.06,,0.16,0.06,,,0.3,,,,,,,
984,OH2001,0.07,,0.16,0.07,,,0.3,,,,,,,
985,OH2002,0.08,,0.17,0.06,,,0.32,,,,,,,
986,OH2003,0.09,,0.18,0.06,,,0.32,,,,,,,
987,OH2004,0.09,,0.18,0.05,,,0.32,,,,,,,
988,OH2005,0.09,0.19,0.19,0.07,,0.33,0.34,,,53500.0,,,,
989,OH2006,0.09,,0.19,0.07,0.7,0.34,0.34,,,54900.0,,,,
990,OH2007,0.09,,0.19,0.06,0.69,0.33,0.34,0.06,,56400.0,0.05,,,
991,OH2008,0.09,0.21,0.19,0.06,0.68,0.33,,0.08,0.2,58600.0,0.06,0.07,0.12,0.17
992,OH2009,0.1,,0.22,0.06,0.66,0.35,,0.13,0.2,55000.0,0.1,0.07,0.14,0.19
993,OH2010,0.12,0.29,0.23,0.07,0.65,0.36,,0.11,0.21,54500.0,0.09,0.08,0.15,0.2
994,OH2011,0.12,,0.24,0.07,0.64,0.35,,0.1,0.22,55100.0,0.08,0.07,0.13,0.18
995,OH2012,0.12,,0.24,0.07,0.63,0.31,,0.09,0.22,57100.0,0.07,0.07,0.13,0.19
996,OH2013,0.11,0.31,0.23,0.07,0.63,0.3,,0.09,0.23,58300.0,0.07,0.07,0.13,0.18
997,OH2014,0.11,0.3,0.23,0.07,0.62,0.29,,0.05,0.23,59600.0,0.04,0.06,0.12,0.17
998,OH2015,0.1,0.28,0.21,0.08,0.63,0.27,,0.05,0.22,62100.0,0.04,0.05,0.11,0.16
999,OH2016,0.1,0.28,0.21,0.07,0.63,0.25,,0.06,0.21,64300.0,0.04,0.06,0.11,0.15
1000,OH2017,0.09,0.27,0.2,0.08,0.63,0.25,,0.07,0.22,67400.0,0.05,0.05,0.1,0.15
1001,OH2018,0.09,0.25,0.2,0.08,0.64,0.25,,0.05,0.22,70000.0,0.04,0.06,0.1,0.13
1002,OH2019,0.08,0.24,0.18,0.08,0.65,0.23,,0.04,0.22,72100.0,0.03,0.06,0.1,0.13
1003,OH2020,,,,,,,,0.09,,,0.07,,,
1004,OH2021,0.1,0.28,0.19,0.08,0.68,0.22,,0.07,0.18,80500.0,0.05,0.06,0.11,0.15
1005,OH2022,0.09,0.25,0.18,0.07,0.69,0.23,0.26,0.04,0.2,85100.0,0.03,0.06,0.11,0.14
1006,OH2023,0.09,0.25,0.18,0.09,0.68,0.24,,0.03,0.21,90400.0,0.02,0.06,0.11,0.14
1007,OH2024,0.09,0.23,0.16,,,,,0.04,,93800.0,0.03,,,
1008,OK2000,0.08,,0.19,0.13,,,0.33,,,,,,,
1009,OK2001,0.08,,0.2,0.13,,,0.3,,,,,,,
1010,OK2002,0.1,,0.22,0.12,,,0.33,,,,,,,
1011,OK2003,0.1,,0.22,0.09,,,0.33,,,,,,,
1012,OK2004,0.1,,0.21,0.09,,,0.36,,,,,,,
1013,OK2005,0.1,0.24,0.23,0.1,,0.29,0.35,,,42300.0,,,,
1014,OK2006,0.1,,0.24,0.12,0.64,0.3,0.36,,,44300.0,,,,
1015,OK2007,0.1,,0.22,0.11,0.64,0.29,0.35,0.05,,46800.0,0.04,,,
1016,OK2008,0.09,0.24,0.23,0.11,0.63,0.29,,0.04,0.27,49200.0,0.03,0.08,0.12,0.16
1017,OK2009,0.1,,0.22,0.12,0.63,0.28,,0.08,0.27,48200.0,0.06,0.09,0.15,0.19
1018,OK2010,0.11,0.3,0.25,0.13,0.63,0.32,,0.1,0.26,47400.0,0.07,0.09,0.15,0.19
1019,OK2011,0.11,,0.23,0.12,0.62,0.3,,0.07,0.27,49400.0,0.06,0.09,0.15,0.21
1020,OK2012,0.1,,0.24,0.13,0.61,0.29,,0.05,0.28,50300.0,0.04,0.1,0.15,0.19
1021,OK2013,0.11,0.3,0.24,0.13,0.6,0.28,,0.06,0.28,51100.0,0.05,0.1,0.16,0.2
1022,OK2014,0.1,0.29,0.22,0.13,0.6,0.27,,0.05,0.27,53700.0,0.04,0.09,0.15,0.2
1023,OK2015,0.1,0.27,0.22,0.13,0.61,0.26,,0.05,0.27,54700.0,0.04,0.08,0.14,0.18
1024,OK2016,0.1,0.29,0.23,0.13,0.6,0.26,,0.06,0.27,56900.0,0.05,0.09,0.15,0.19
1025,OK2017,0.09,0.27,0.21,0.13,0.61,0.26,,0.05,0.27,56900.0,0.04,0.08,0.13,0.18
1026,OK2018,0.1,0.26,0.22,0.12,0.61,0.25,,0.04,0.27,60200.0,0.03,0.08,0.12,0.16
1027,OK2019,0.09,0.25,0.2,0.12,0.63,0.25,,0.03,0.28,62200.0,0.03,0.08,0.13,0.16
1028,OK2020,,,,,,,,0.08,,,0.06,,,
1029,OK2021,0.1,0.29,0.21,0.13,0.63,0.25,,0.04,0.25,64600.0,0.03,0.09,0.14,0.17
1030,OK2022,0.09,0.31,0.2,0.13,0.64,0.27,0.27,0.04,0.27,70100.0,0.03,0.08,0.12,0.15
1031,OK2023,0.09,0.29,0.21,0.14,0.67,0.27,,0.04,0.26,77000.0,0.03,0.08,0.13,0.17
1032,OK2024,0.09,0.28,0.19,,,,,0.03,,78000.0,0.02,,,
1033,OR2000,0.08,,0.18,0.18,,,0.36,,,,,,,
1034,OR2001,0.07,,0.18,0.16,,,0.37,,,,,,,
1035,OR2002,0.05,,0.17,0.13,,,0.34,,,,,,,
1036,OR2003,0.08,,0.18,0.14,,,0.35,,,,,,,
1037,OR2004,0.08,,0.19,0.13,,,0.35,,,,,,,
1038,OR2005,0.08,0.22,0.18,0.13,,0.38,0.38,,,49900.0,,,,
1039,OR2006,0.07,,0.17,0.12,0.64,0.4,0.34,,,52800.0,,,,
1040,OR2007,0.07,,0.17,0.12,0.65,0.42,0.35,0.06,,55700.0,0.04,,,
1041,OR2008,0.07,0.23,0.18,0.14,0.64,0.43,,0.08,0.21,57700.0,0.06,0.09,0.14,0.17
1042,OR2009,0.08,,0.19,0.14,0.6,0.43,,0.12,0.21,55500.0,0.1,0.09,0.15,0.2
1043,OR2010,0.09,0.33,0.22,0.14,0.59,0.45,,0.13,0.23,51800.0,0.1,0.1,0.15,0.19
1044,OR2011,0.1,,0.24,0.14,0.55,0.45,,0.11,0.22,52400.0,0.09,0.09,0.16,0.21
1045,OR2012,0.1,,0.23,0.16,0.57,0.41,,0.09,0.23,54800.0,0.07,0.09,0.15,0.19
1046,OR2013,0.09,0.36,0.22,0.15,0.57,0.39,,0.08,0.23,56800.0,0.06,0.08,0.14,0.19
1047,OR2014,0.09,0.35,0.22,0.16,0.54,0.38,,0.07,0.25,57300.0,0.05,0.08,0.13,0.17
1048,OR2015,0.08,0.35,0.2,0.15,0.57,0.34,,0.05,0.24,62500.0,0.04,0.07,0.12,0.16
1049,OR2016,0.07,0.3,0.17,0.15,0.6,0.32,,0.04,0.22,68000.0,0.04,0.06,0.12,0.16
