,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
919,GA2006,0.813,0.074,N.C.,0.424,0.041,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
920,GA2006,0.813,0.074,0.074,0.424,N.C.,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
921,GA2006,0.813,0.074,0.074,0.424,0.041,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
922,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
923,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
924,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
925,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
926,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
927,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
928,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
929,GA2007,0.796,N.A.,N.A.,0.436,N.A.,35.0,409,,,,0.12,0.8,0.72,0.1,0.21,,1206,14357.0,,0.139,497,151137.0,18085.0
930,GA2008,0.719,N.C.,N.C.,0.454,0.077,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
931,GA2008,0.719,N.C.,N.C.,0.454,N.C.,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
932,GA2008,0.719,N.C.,N.C.,0.454,0.077,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
933,GA2008,0.719,N.C.,N.C.,0.454,N.C.,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
934,GA2008,0.719,N.C.,N.C.,0.454,0.077,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
935,GA2008,0.719,N.C.,N.C.,0.454,N.C.,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
936,GA2008,0.719,N.C.,N.C.,0.454,0.077,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
937,GA2008,0.719,N.C.,N.C.,0.454,N.C.,32.0,386,0.11,,,,,,,,,1182,13975.0,,0.134,459,146603.0,17273.0
938,GA2009,0.511,N.C.,N.C.,0.45,0.07,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
939,GA2009,0.511,N.C.,N.C.,0.45,N.C.,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
940,GA2009,0.511,N.C.,N.C.,0.45,0.07,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
941,GA2009,0.511,N.C.,N.C.,0.45,N.C.,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
