,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
323,Boston2018,,,,,,,0.37,,,,,,,
324,Boston2019,,,,,,,0.37,,,,,,,
325,Boston2021,,,,,,,0.46,,,,,,,
326,Boston2022,,,,,,,0.36,,,,,,,
327,Boston2023,,,,,,,S,,,,,,,
328,CA2000,0.08,,0.2,0.32,,,0.35,,,,,,,
329,CA2001,0.07,,0.18,0.31,,,0.35,,,,,,,
330,CA2002,0.07,,0.19,0.32,,,0.36,,,,,,,
331,CA2003,0.07,,0.19,0.3,,,0.35,,,,,,,
332,CA2004,0.08,,0.19,0.28,,,0.36,,,,,,,
333,CA2005,0.07,0.16,0.19,0.28,,0.51,0.36,,,56300.0,,,,
334,CA2006,0.07,,0.18,0.27,0.56,0.54,0.35,,,60200.0,,,,
335,CA2007,0.07,,0.17,0.26,0.55,0.55,0.35,0.06,,62000.0,0.04,,,
336,CA2008,0.07,0.17,0.18,0.26,0.54,0.55,0.3,0.08,0.21,64200.0,0.06,0.08,0.13,0.17
337,CA2009,0.08,,0.2,0.28,0.52,0.54,0.34,0.13,0.22,61000.0,0.1,0.08,0.15,0.2
338,CA2010,0.09,0.24,0.22,0.29,0.5,0.54,0.36,0.13,0.22,59100.0,0.11,0.08,0.15,0.2
339,CA2011,0.1,,0.23,0.28,0.49,0.52,0.36,0.13,0.23,59100.0,0.1,0.09,0.15,0.2
340,CA2012,0.1,,0.24,0.28,0.47,0.51,0.35,0.11,0.24,60400.0,0.09,0.08,0.15,0.2
341,CA2013,0.1,0.27,0.23,0.28,0.47,0.48,0.34,0.1,0.24,61400.0,0.08,0.08,0.14,0.18
342,CA2014,0.09,0.27,0.23,0.28,0.47,0.47,0.33,0.08,0.24,64800.0,0.06,0.07,0.13,0.18
343,CA2015,0.09,0.27,0.21,0.28,0.47,0.45,0.32,0.07,0.24,66400.0,0.05,0.07,0.12,0.17
344,CA2016,0.08,0.27,0.2,0.28,0.47,0.44,0.31,0.06,0.23,71500.0,0.05,0.06,0.11,0.15
345,CA2017,0.07,0.25,0.18,0.28,0.49,0.43,0.29,0.05,0.22,76900.0,0.04,0.07,0.11,0.15
346,CA2018,0.07,0.24,0.17,0.28,0.5,0.42,0.29,0.05,0.21,81400.0,0.03,0.06,0.11,0.14
347,CA2019,0.06,0.21,0.16,0.28,0.5,0.41,0.27,0.04,0.21,85300.0,0.03,0.06,0.1,0.14
348,CA2020,,,,,,,,0.11,,,0.08,,,
349,CA2021,0.07,0.27,0.16,0.27,0.53,0.4,0.32,0.08,0.17,93600.0,0.06,0.07,0.12,0.17
350,CA2022,0.07,0.26,0.15,0.27,0.54,0.41,0.28,0.04,0.19,101700.0,0.03,0.06,0.11,0.15
351,CA2022,0.07,0.26,0.15,0.27,0.54,0.41,0.28,0.04,0.19,101700.0,0.03,0.06,0.11,0.15
352,CA2023,0.07,0.26,0.15,0.27,0.54,0.41,0.28,0.05,0.19,104400.0,0.03,0.07,0.11,0.14
353,CA2024,0.07,0.26,0.15,,,,0.28,0.05,,111700.0,0.04,,,
354,CO2000,0.03,,0.1,0.14,,,0.34,,,,,,,
355,CO2001,0.06,,0.13,0.1,,,0.27,,,,,,,
356,CO2002,0.05,,0.12,0.12,,,0.29,,,,,,,
357,CO2003,0.06,,0.13,0.1,,,0.31,,,,,,,
358,CO2004,0.07,,0.15,0.09,,,0.31,,,,,,,
359,CO2005,0.06,0.13,0.14,0.09,,0.38,0.31,,,58400.0,,,,
360,CO2006,0.07,,0.16,0.09,0.7,0.41,0.31,,,60800.0,,,,
361,CO2007,0.08,,0.16,0.1,0.68,0.4,0.31,0.04,,63800.0,0.03,,,
362,CO2008,0.05,0.12,0.15,0.1,0.66,0.38,0.24,0.04,0.2,67000.0,0.03,0.08,0.11,0.13
363,CO2009,0.08,,0.17,0.11,0.66,0.38,0.28,0.09,0.19,66000.0,0.06,0.08,0.13,0.17
364,CO2010,0.08,0.19,0.17,0.12,0.64,0.39,0.29,0.11,0.19,63700.0,0.08,0.07,0.12,0.16
365,CO2011,0.08,,0.18,0.12,0.63,0.38,0.29,0.09,0.19,64700.0,0.07,0.08,0.13,0.17
366,CO2012,0.08,,0.18,0.12,0.61,0.36,0.28,0.08,0.2,65900.0,0.06,0.08,0.12,0.16
367,CO2013,0.07,0.21,0.17,0.11,0.62,0.34,0.27,0.07,0.21,68100.0,0.05,0.06,0.11,0.15
368,CO2014,0.07,0.21,0.15,0.12,0.62,0.32,0.25,0.04,0.21,72000.0,0.03,0.06,0.11,0.14
369,CO2015,0.06,0.19,0.15,0.12,0.63,0.31,0.25,0.04,0.19,76600.0,0.03,0.07,0.11,0.13
370,CO2016,0.05,0.18,0.13,0.11,0.64,0.31,0.23,0.03,0.19,78000.0,0.03,0.07,0.1,0.13
371,CO2017,0.05,0.16,0.12,0.12,0.65,0.31,0.23,0.03,0.18,82900.0,0.02,0.05,0.09,0.11
372,CO2018,0.05,0.15,0.12,0.1,0.67,0.3,0.21,0.03,0.18,87700.0,0.02,0.06,0.09,0.12
373,CO2019,0.05,0.16,0.11,0.11,0.68,0.3,0.22,0.03,0.17,92500.0,0.02,0.05,0.09,0.11
374,CO2020,,,,,,,,0.07,,,0.06,,,
375,CO2021,0.06,0.19,0.12,0.1,0.71,0.3,0.24,0.07,0.14,102300.0,0.05,0.07,0.11,0.14
376,CO2022,0.06,0.19,0.11,0.11,0.72,0.3,0.22,0.03,0.16,110400.0,0.02,0.06,0.09,0.11
377,CO2022,0.06,0.19,0.11,0.11,0.72,0.3,0.22,0.03,0.16,110400.0,0.02,0.06,0.09,0.11
378,CO2023,0.06,0.19,0.11,0.11,0.71,0.31,0.22,0.03,0.15,118700.0,0.02,0.06,0.08,0.1
379,CO2024,0.06,0.18,0.11,,,,0.22,0.05,,124700.0,0.03,,,
380,CT2000,0.04,,0.11,0.07,,,0.26,,,,,,,
381,CT2001,0.05,,0.1,0.07,,,0.25,,,,,,,
382,CT2002,0.05,,0.1,0.07,,,0.28,,,,,,,
383,CT2003,0.05,,0.11,0.06,,,0.28,,,,,,,
384,CT2004,0.06,,0.1,0.08,,,0.27,,,,,,,
385,CT2005,0.06,0.12,0.12,0.07,,0.38,0.29,,,76300.0,,,,
386,CT2006,0.05,,0.11,0.06,0.72,0.41,0.28,,,77800.0,,,,
387,CT2007,0.05,,0.11,0.07,0.73,0.41,0.29,0.05,,82200.0,0.03,,,
388,CT2008,0.06,0.13,0.12,0.07,0.71,0.42,0.24,0.08,0.12,84300.0,0.05,0.06,0.09,0.13
389,CT2009,0.06,,0.12,0.08,0.7,0.41,0.26,0.09,0.13,83100.0,0.06,0.06,0.11,0.15
390,CT2010,0.06,0.19,0.13,0.08,0.69,0.43,0.28,0.1,0.13,80800.0,0.07,0.05,0.11,0.16
391,CT2011,0.07,,0.15,0.07,0.68,0.44,0.28,0.1,0.15,81500.0,0.07,0.07,0.12,0.17
392,CT2012,0.07,,0.15,0.07,0.66,0.41,0.28,0.09,0.14,85100.0,0.07,0.05,0.11,0.16
393,CT2013,0.07,0.22,0.15,0.07,0.65,0.38,0.29,0.08,0.15,82400.0,0.06,0.05,0.11,0.16
394,CT2014,0.07,0.23,0.15,0.08,0.64,0.38,0.28,0.08,0.16,87900.0,0.06,0.05,0.1,0.14
395,CT2015,0.07,0.21,0.15,0.08,0.65,0.37,0.27,0.09,0.14,89900.0,0.06,0.05,0.1,0.14
396,CT2016,0.06,0.21,0.13,0.08,0.64,0.34,0.26,0.06,0.16,92200.0,0.05,0.05,0.09,0.11
397,CT2017,0.06,0.19,0.13,0.09,0.66,0.35,0.26,0.05,0.15,91100.0,0.03,0.05,0.1,0.14
398,CT2018,0.06,0.19,0.14,0.07,0.64,0.35,0.25,0.06,0.16,93800.0,0.04,0.05,0.09,0.12
399,CT2019,0.06,0.2,0.14,0.07,0.65,0.34,0.27,0.03,0.16,98300.0,0.02,0.04,0.08,0.12
400,CT2020,,,,,,,,0.08,,,0.06,,,
401,CT2021,0.07,0.23,0.13,0.09,0.67,0.31,0.27,0.06,0.14,105000.0,0.05,0.04,0.09,0.12
402,CT2022,0.06,0.21,0.12,0.08,0.7,0.31,0.23,0.05,0.15,114200.0,0.03,0.05,0.1,0.14
403,CT2022,0.06,0.21,0.12,0.08,0.7,0.31,0.23,0.05,0.15,114200.0,0.03,0.05,0.1,0.14
404,CT2023,0.07,0.21,0.13,0.09,0.68,0.34,0.23,0.03,0.17,112800.0,0.02,0.05,0.09,0.12
405,CT2024,0.07,0.2,0.13,,,,0.24,0.03,,121600.0,0.02,,,
406,Charlotte2008,,,,,,,0.27,,,,,,,
407,Charlotte2009,,,,,,,0.32,,,,,,,
408,Charlotte2010,,,,,,,0.35,,,,,,,
409,Charlotte2011,,,,,,,0.34,,,,,,,
410,Charlotte2012,,,,,,,0.29,,,,,,,
411,Charlotte2013,,,,,,,0.32,,,,,,,
412,Charlotte2014,,,,,,,0.28,,,,,,,
413,Charlotte2015,,,,,,,0.26,,,,,,,
414,Charlotte2016,,,,,,,0.25,,,,,,,
415,Charlotte2017,,,,,,,0.24,,,,,,,
416,Charlotte2018,,,,,,,0.22,,,,,,,
417,Charlotte2019,,,,,,,0.22,,,,,,,
418,Charlotte2021,,,,,,,0.27,,,,,,,
419,Charlotte2022,,,,,,,0.25,,,,,,,
420,Charlotte2023,,,,,,,0.25,,,,,,,
421,Chicago2008,,,,,,,0.38,,,,,,,
422,Chicago2009,,,,,,,0.43,,,,,,,
423,Chicago2010,,,,,,,0.44,,,,,,,
424,Chicago2011,,,,,,,0.46,,,,,,,
425,Chicago2012,,,,,,,0.41,,,,,,,
426,Chicago2013,,,,,,,0.42,,,,,,,
427,Chicago2014,,,,,,,0.4,,,,,,,
428,Chicago2015,,,,,,,0.37,,,,,,,
429,Chicago2016,,,,,,,0.36,,,,,,,
430,Chicago2017,,,,,,,0.36,,,,,,,
431,Chicago2018,,,,,,,0.35,,,,,,,
432,Chicago2019,,,,,,,0.32,,,,,,,
433,Chicago2021,,,,,,,0.37,,,,,,,
434,Chicago2022,,,,,,,0.37,,,,,,,
435,Chicago2023,,,,,,,0.36,,,,,,,
436,Cleveland2008,,,,,,,0.52,,,,,,,
437,Cleveland2009,,,,,,,0.59,,,,,,,
438,Cleveland2010,,,,,,,0.59,,,,,,,
439,Cleveland2011,,,,,,,0.59,,,,,,,
440,Cleveland2012,,,,,,,0.58,,,,,,,
441,Cleveland2013,,,,,,,0.58,,,,,,,
442,Cleveland2014,,,,,,,0.63,,,,,,,
443,Cleveland2015,,,,,,,0.57,,,,,,,
444,Cleveland2016,,,,,,,0.57,,,,,,,
445,Cleveland2017,,,,,,,0.53,,,,,,,
446,Cleveland2018,,,,,,,0.48,,,,,,,
447,Cleveland2019,,,,,,,0.46,,,,,,,
448,Colorado Springs2008,,,,,,,0.25,,,,,,,
449,Colorado Springs2009,,,,,,,0.26,,,,,,,
450,Colorado Springs2010,,,,,,,0.29,,,,,,,
451,Colorado Springs2011,,,,,,,0.31,,,,,,,
452,Colorado Springs2012,,,,,,,0.32,,,,,,,
453,Colorado Springs2013,,,,,,,0.26,,,,,,,
454,Colorado Springs2014,,,,,,,0.28,,,,,,,
455,Colorado Springs2015,,,,,,,0.27,,,,,,,
456,Colorado Springs2016,,,,,,,0.25,,,,,,,
457,Colorado Springs2017,,,,,,,0.27,,,,,,,
458,Colorado Springs2018,,,,,,,0.26,,,,,,,
459,Colorado Springs2019,,,,,,,0.24,,,,,,,
460,Colorado Springs2021,,,,,,,0.23,,,,,,,
461,Colorado Springs2022,,,,,,,0.23,,,,,,,
462,Colorado Springs2023,,,,,,,0.2,,,,,,,
463,Columbus2008,,,,,,,0.36,,,,,,,
464,Columbus2009,,,,,,,0.4,,,,,,,
465,Columbus2010,,,,,,,0.4,,,,,,,
466,Columbus2011,,,,,,,0.39,,,,,,,
467,Columbus2012,,,,,,,0.39,,,,,,,
468,Columbus2013,,,,,,,0.42,,,,,,,
469,Columbus2014,,,,,,,0.36,,,,,,,
470,Columbus2015,,,,,,,0.35,,,,,,,
471,Columbus2016,,,,,,,0.36,,,,,,,
472,Columbus2017,,,,,,,0.32,,,,,,,
473,Columbus2018,,,,,,,0.35,,,,,,,
474,Columbus2019,,,,,,,0.3,,,,,,,
475,Columbus2021,,,,,,,0.4,,,,,,,
476,Columbus2022,,,,,,,0.34,,,,,,,
477,Columbus2023,,,,,,,0.34,,,,,,,
478,DC2008,,,,,,,0.41,,,,,,,
479,DC2009,,,,,,,0.44,,,,,,,
480,DC2010,,,,,,,0.44,,,,,,,
481,DC2011,,,,,,,0.44,,,,,,,
482,DC2012,,,,,,,0.39,,,,,,,
483,DC2013,,,,,,,0.42,,,,,,,
484,DC2014,,,,,,,0.4,,,,,,,
485,DC2015,,,,,,,0.43,,,,,,,
486,DC2016,,,,,,,0.36,,,,,,,
487,DC2017,,,,,,,0.42,,,,,,,
488,DC2018,,,,,,,0.37,,,,,,,
489,DC2019,,,,,,,0.32,,,,,,,
490,DC2021,,,,,,,0.41,,,,,,,
491,DC2022,,,,,,,0.34,,,,,,,
492,DC2023,,,,,,,0.31,,,,,,,
493,DC2024,,,,,,,0.37,,,,,,,
494,DE2000,0.02,,0.12,0.1,,,0.25,,,,,,,
495,DE2001,0.05,,0.14,0.07,,,0.26,,,,,,,
496,DE2002,0.06,,0.11,0.07,,,0.3,,,,,,,
497,DE2003,0.05,,0.12,0.07,,,0.29,,,,,,,
498,DE2004,0.07,,0.14,0.09,,,0.3,,,,,,,
499,DE2005,0.06,0.15,0.14,0.09,,0.32,0.29,,,61700.0,,,,
500,DE2006,0.07,,0.16,0.08,0.71,0.35,0.3,,,61200.0,,,,
501,DE2007,0.07,,0.15,0.08,0.68,0.39,0.31,0.03,,61700.0,0.03,,,
502,DE2008,0.05,0.18,0.14,0.07,0.71,0.39,0.25,0.05,0.17,66500.0,0.04,0.09,0.11,0.13
503,DE2009,0.07,,0.16,0.08,0.69,0.41,0.28,0.1,0.17,65400.0,0.07,0.08,0.12,0.16
504,DE2010,0.08,0.28,0.18,0.11,0.67,0.4,0.29,0.09,0.18,64600.0,0.07,0.09,0.14,0.18
505,DE2011,0.09,,0.17,0.08,0.65,0.38,0.3,0.08,0.21,63100.0,0.06,0.08,0.14,0.18
506,DE2012,0.08,,0.17,0.09,0.65,0.37,0.32,0.08,0.21,69300.0,0.06,0.08,0.14,0.19
507,DE2013,0.09,0.32,0.18,0.11,0.65,0.35,0.31,0.08,0.2,66300.0,0.06,0.06,0.14,0.2
508,DE2014,0.08,0.28,0.18,0.07,0.62,0.32,0.3,0.06,0.19,71500.0,0.04,0.05,0.12,0.17
509,DE2015,0.08,0.3,0.19,0.12,0.63,0.32,0.28,0.05,0.21,71600.0,0.04,0.08,0.11,0.14
510,DE2016,0.07,0.27,0.17,0.1,0.63,0.32,0.26,0.03,0.2,70400.0,0.03,0.07,0.14,0.2
511,DE2017,0.07,0.27,0.18,0.07,0.65,0.29,0.26,0.06,0.22,71000.0,0.04,0.06,0.12,0.18
512,DE2018,0.08,0.24,0.19,0.1,0.62,0.33,0.28,0.04,0.21,74100.0,0.03,0.04,0.11,0.16
513,DE2019,0.06,0.25,0.16,0.11,0.64,0.28,0.28,0.04,0.2,77200.0,0.04,0.06,0.1,0.14
514,DE2020,,,,,,,,0.08,,,0.06,,,
515,DE2021,0.08,0.28,0.17,0.09,0.69,0.31,0.29,0.06,0.16,82100.0,0.05,0.05,0.08,0.1
516,DE2022,0.06,0.27,0.13,0.12,0.68,0.22,0.24,0.04,0.18,98000.0,0.03,0.03,0.08,0.13
517,DE2022,0.06,0.27,0.13,0.12,0.68,0.22,0.24,0.04,0.18,98000.0,0.03,0.03,0.08,0.13
518,DE2023,0.06,0.26,0.15,0.11,0.71,0.24,0.26,0.04,0.18,101100.0,0.03,0.05,0.1,0.14
519,DE2024,0.07,0.22,0.13,,,,0.25,0.05,,105100.0,0.03,,,
520,Dallas2008,,,,,,,0.32,,,,,,,
521,Dallas2009,,,,,,,0.34,,,,,,,
522,Dallas2010,,,,,,,0.38,,,,,,,
523,Dallas2011,,,,,,,0.34,,,,,,,
524,Dallas2012,,,,,,,0.35,,,,,,,
525,Dallas2013,,,,,,,0.34,,,,,,,
526,Dallas2014,,,,,,,0.35,,,,,,,
527,Dallas2015,,,,,,,0.31,,,,,,,
528,Dallas2016,,,,,,,0.29,,,,,,,
529,Dallas2017,,,,,,,0.27,,,,,,,
530,Dallas2018,,,,,,,0.3,,,,,,,
531,Dallas2019,,,,,,,0.29,,,,,,,
532,Dallas2021,,,,,,,0.31,,,,,,,
533,Dallas2022,,,,,,,0.3,,,,,,,
534,Dallas2023,,,,,,,0.32,,,,,,,
535,Denver2008,,,,,,,0.35,,,,,,,
536,Denver2009,,,,,,,0.36,,,,,,,
537,Denver2010,,,,,,,0.4,,,,,,,
538,Denver2011,,,,,,,0.35,,,,,,,
539,Denver2012,,,,,,,0.35,,,,,,,
540,Denver2013,,,,,,,0.34,,,,,,,
541,Denver2014,,,,,,,0.31,,,,,,,
542,Denver2015,,,,,,,0.33,,,,,,,
543,Denver2016,,,,,,,0.29,,,,,,,
544,Denver2017,,,,,,,0.25,,,,,,,
545,Denver2018,,,,,,,0.24,,,,,,,
546,Denver2019,,,,,,,0.28,,,,,,,
547,Denver2021,,,,,,,0.26,,,,,,,
548,Denver2022,,,,,,,0.3,,,,,,,
549,Denver2023,,,,,,,0.25,,,,,,,
550,Detroit2008,,,,,,,0.54,,,,,,,
551,Detroit2009,,,,,,,0.61,,,,,,,
552,Detroit2010,,,,,,,0.65,,,,,,,
553,Detroit2011,,,,,,,0.64,,,,,,,
554,Detroit2012,,,,,,,0.62,,,,,,,
555,Detroit2013,,,,,,,0.64,,,,,,,
556,Detroit2014,,,,,,,0.62,,,,,,,
557,Detroit2015,,,,,,,0.61,,,,,,,
558,Detroit2016,,,,,,,0.58,,,,,,,
559,Detroit2017,,,,,,,0.58,,,,,,,
560,Detroit2018,,,,,,,0.55,,,,,,,
561,Detroit2019,,,,,,,0.47,,,,,,,
562,Detroit2021,,,,,,,0.6,,,,,,,
563,Detroit2022,,,,,,,S,,,,,,,
564,Detroit2023,,,,,,,0.5,,,,,,,
565,El Paso2008,,,,,,,0.32,,,,,,,
566,El Paso2009,,,,,,,0.33,,,,,,,
567,El Paso2010,,,,,,,0.37,,,,,,,
568,El Paso2011,,,,,,,0.34,,,,,,,
569,El Paso2012,,,,,,,0.34,,,,,,,
570,El Paso2013,,,,,,,0.3,,,,,,,
571,El Paso2014,,,,,,,0.36,,,,,,,
572,El Paso2015,,,,,,,0.32,,,,,,,
573,El Paso2016,,,,,,,0.35,,,,,,,
574,El Paso2017,,,,,,,0.32,,,,,,,
575,El Paso2018,,,,,,,0.3,,,,,,,
576,El Paso2019,,,,,,,0.33,,,,,,,
577,El Paso2021,,,,,,,0.37,,,,,,,
578,El Paso2022,,,,,,,0.3,,,,,,,
579,El Paso2023,,,,,,,0.29,,,,,,,
580,FL2000,0.08,,0.19,0.15,,,0.34,,,,,,,
581,FL2001,0.07,,0.17,0.15,,,0.31,,,,,,,
582,FL2002,0.08,,0.19,0.16,,,0.33,,,,,,,
583,FL2003,0.08,,0.19,0.15,,,0.33,,,,,,,
584,FL2004,0.08,,0.18,0.13,,,0.32,,,,,,,
585,FL2005,0.08,0.19,0.18,0.12,,0.42,0.33,,,49100.0,,,,
586,FL2006,0.07,,0.17,0.12,0.65,0.46,0.32,,,52200.0,,,,
587,FL2007,0.07,,0.17,0.12,0.64,0.49,0.32,0.05,,54000.0,0.04,,,
588,FL2008,0.07,0.17,0.18,0.12,0.63,0.49,0.28,0.07,0.24,54400.0,0.05,0.1,0.15,0.19
589,FL2009,0.09,,0.21,0.12,0.61,0.5,0.32,0.12,0.25,49800.0,0.09,0.11,0.16,0.2
590,FL2010,0.1,0.28,0.23,0.13,0.59,0.49,0.34,0.12,0.25,49800.0,0.09,0.1,0.16,0.21
591,FL2011,0.11,,0.25,0.13,0.57,0.48,0.34,0.11,0.26,49500.0,0.09,0.09,0.16,0.21
592,FL2012,0.11,,0.25,0.14,0.55,0.46,0.34,0.1,0.27,49500.0,0.08,0.09,0.16,0.2
593,FL2013,0.11,0.33,0.24,0.14,0.54,0.42,0.33,0.08,0.27,51100.0,0.06,0.09,0.15,0.2
594,FL2014,0.1,0.33,0.24,0.15,0.52,0.41,0.32,0.07,0.28,51900.0,0.05,0.08,0.14,0.19
595,FL2015,0.1,0.33,0.23,0.14,0.53,0.4,0.31,0.06,0.28,52900.0,0.04,0.08,0.13,0.17
596,FL2016,0.09,0.32,0.21,0.14,0.53,0.39,0.3,0.05,0.27,56900.0,0.04,0.07,0.12,0.15
597,FL2017,0.09,0.31,0.2,0.14,0.55,0.38,0.29,0.05,0.26,59300.0,0.04,0.07,0.12,0.15
598,FL2018,0.08,0.3,0.2,0.15,0.57,0.37,0.28,0.04,0.26,62200.0,0.03,0.07,0.12,0.15
599,FL2019,0.08,0.27,0.18,0.14,0.58,0.36,0.27,0.03,0.26,65800.0,0.03,0.07,0.11,0.14
600,FL2020,,,,,,,,0.09,,,0.07,,,
601,FL2021,0.08,0.3,0.18,0.14,0.62,0.36,0.29,0.05,0.22,71300.0,0.04,0.07,0.12,0.16
602,FL2022,0.08,0.27,0.17,0.15,0.62,0.38,0.26,0.03,0.23,80400.0,0.02,0.07,0.11,0.15
603,FL2022,0.08,0.27,0.17,0.15,0.62,0.38,0.26,0.03,0.23,80400.0,0.02,0.07,0.11,0.15
604,FL2023,0.07,0.27,0.16,0.15,0.63,0.38,0.26,0.03,0.23,85100.0,0.02,0.07,0.11,0.14
605,FL2024,0.07,0.25,0.15,,,,0.25,0.03,,90300.0,0.03,,,
606,Fort Worth2008,,,,,,,0.27,,,,,,,
607,Fort Worth2009,,,,,,,0.33,,,,,,,
608,Fort Worth2010,,,,,,,0.27,,,,,,,
609,Fort Worth2011,,,,,,,0.3,,,,,,,
610,Fort Worth2012,,,,,,,0.3,,,,,,,
611,Fort Worth2013,,,,,,,0.27,,,,,,,
612,Fort Worth2014,,,,,,,0.3,,,,,,,
613,Fort Worth2015,,,,,,,0.28,,,,,,,
614,Fort Worth2016,,,,,,,0.25,,,,,,,
615,Fort Worth2017,,,,,,,0.23,,,,,,,
616,Fort Worth2018,,,,,,,0.28,,,,,,,
617,Fort Worth2019,,,,,,,0.24,,,,,,,
618,Fort Worth2021,,,,,,,0.28,,,,,,,
619,Fort Worth2022,,,,,,,0.23,,,,,,,
620,Fort Worth2023,,,,,,,0.22,,,,,,,
621,Fresno2008,,,,,,,0.42,,,,,,,
622,Fresno2009,,,,,,,0.42,,,,,,,
623,Fresno2010,,,,,,,0.51,,,,,,,
624,Fresno2011,,,,,,,0.5,,,,,,,
625,Fresno2012,,,,,,,0.5,,,,,,,
626,Fresno2013,,,,,,,0.48,,,,,,,
627,Fresno2014,,,,,,,0.46,,,,,,,
628,Fresno2015,,,,,,,0.46,,,,,,,
629,Fresno2016,,,,,,,0.48,,,,,,,
630,Fresno2017,,,,,,,0.41,,,,,,,
631,Fresno2018,,,,,,,0.4,,,,,,,
632,Fresno2019,,,,,,,0.38,,,,,,,
633,Fresno2021,,,,,,,0.4,,,,,,,
634,Fresno2022,,,,,,,0.37,,,,,,,
635,Fresno2023,,,,,,,0.4,,,,,,,
636,GA2000,0.09,,0.18,0.11,,,0.32,,,,,,,
637,GA2001,0.07,,0.16,0.11,,,0.29,,,,,,,
638,GA2002,0.08,,0.18,0.1,,,0.32,,,,,,,
639,GA2003,0.09,,0.19,0.11,,,0.31,,,,,,,
640,GA2004,0.1,,0.21,0.1,,,0.35,,,,,,,
641,GA2005,0.09,0.19,0.2,0.1,,0.35,0.34,,,51300.0,,,,
642,GA2006,0.09,,0.2,0.09,0.65,0.36,0.34,,,53600.0,,,,
643,GA2007,0.09,,0.2,0.1,0.65,0.37,0.33,0.06,,55900.0,0.04,,,
644,GA2008,0.09,0.2,0.2,0.11,0.64,0.37,0.28,0.07,0.23,56800.0,0.06,0.11,0.16,0.21
645,GA2009,0.1,,0.22,0.1,0.63,0.39,0.32,0.11,0.23,53700.0,0.09,0.12,0.17,0.22
646,GA2010,0.11,0.29,0.25,0.12,0.61,0.41,0.34,0.12,0.24,51900.0,0.09,0.12,0.18,0.24
647,GA2011,0.12,,0.26,0.11,0.59,0.4,0.35,0.11,0.25,51900.0,0.08,0.11,0.18,0.24
648,GA2012,0.13,,0.27,0.11,0.57,0.38,0.33,0.1,0.26,53000.0,0.08,0.11,0.18,0.24
649,GA2013,0.12,0.33,0.27,0.11,0.57,0.36,0.33,0.1,0.26,53100.0,0.07,0.1,0.16,0.22
650,GA2014,0.12,0.32,0.26,0.11,0.56,0.35,0.31,0.08,0.26,54100.0,0.06,0.1,0.16,0.21
651,GA2015,0.11,0.31,0.24,0.11,0.54,0.33,0.3,0.07,0.27,57000.0,0.05,0.09,0.15,0.2
652,GA2016,0.1,0.3,0.23,0.1,0.54,0.32,0.29,0.06,0.24,62100.0,0.05,0.08,0.13,0.17
653,GA2017,0.09,0.27,0.21,0.1,0.58,0.3,0.27,0.05,0.25,64700.0,0.04,0.08,0.13,0.17
654,GA2018,0.09,0.26,0.2,0.11,0.59,0.3,0.28,0.05,0.25,66900.0,0.04,0.08,0.12,0.16
655,GA2019,0.08,0.24,0.19,0.1,0.6,0.28,0.26,0.04,0.25,70800.0,0.03,0.08,0.13,0.17
656,GA2020,,,,,,,,0.07,,,0.05,,,
657,GA2021,0.1,0.27,0.2,0.09,0.63,0.29,0.29,0.04,0.21,76400.0,0.03,0.08,0.13,0.17
658,GA2022,0.08,0.28,0.17,0.1,0.64,0.28,0.26,0.04,0.23,84100.0,0.03,0.07,0.12,0.15
659,GA2022,0.08,0.28,0.17,0.1,0.64,0.28,0.26,0.04,0.23,84100.0,0.03,0.07,0.12,0.15
660,GA2023,0.09,0.26,0.18,0.11,0.65,0.31,0.26,0.04,0.23,87600.0,0.03,0.07,0.12,0.16
661,GA2024,0.08,0.22,0.16,,,,0.25,0.03,,95200.0,0.02,,,
662,HI2000,0.06,,0.13,0.39,,,0.41,,,,,,,
663,HI2001,0.05,,0.14,0.35,,,0.33,,,,,,,
664,HI2002,0.07,,0.14,0.38,,,0.35,,,,,,,
665,HI2003,0.07,,0.15,0.35,,,0.33,,,,,,,
666,HI2004,0.06,,0.14,0.33,,,0.36,,,,,,,
667,HI2005,0.05,0.15,0.13,0.31,,0.37,0.34,,,62500.0,,,,
668,HI2006,0.06,,0.11,0.32,0.57,0.4,0.35,,,66200.0,,,,
669,HI2007,0.05,,0.1,0.3,0.55,0.43,0.32,0.03,,68700.0,0.02,,,
670,HI2008,0.05,0.14,0.1,0.27,0.54,0.47,0.26,0.04,0.15,73100.0,0.03,0.09,0.12,0.14
671,HI2009,0.05,,0.14,0.28,0.53,0.49,0.3,0.08,0.17,68900.0,0.07,0.12,0.13,0.15
672,HI2010,0.07,0.22,0.14,0.3,0.55,0.46,0.3,0.1,0.17,73100.0,0.07,0.12,0.15,0.18
673,HI2011,0.09,,0.17,0.33,0.52,0.46,0.32,0.1,0.18,64900.0,0.07,0.11,0.15,0.17
674,HI2012,0.08,,0.17,0.32,0.5,0.46,0.29,0.07,0.19,71400.0,0.05,0.09,0.14,0.16
675,HI2013,0.06,0.26,0.13,0.31,0.49,0.43,0.27,0.06,0.18,79700.0,0.04,0.1,0.13,0.14
676,HI2014,0.06,0.27,0.15,0.31,0.5,0.41,0.29,0.04,0.18,71800.0,0.03,0.1,0.14,0.16
677,HI2015,0.07,0.27,0.14,0.34,0.5,0.38,0.26,0.04,0.16,77900.0,0.03,0.06,0.11,0.14
