,LocYear,fam1: A,fam1: B,fam1: G,fam1: H,fam1: N,fam4,fam5,fam7,fam8,Data_x,Data_y,Data,fam15,fam16,fam18,fam19
105,AZ1990,,,,,,,,,,,,,,9612.0,,
106,AZ1991,,,,,,,,,,,,,,9922.0,,
107,AZ1992,,,,,,,,,,,,,,10147.0,,
108,AZ1993,,,,,,,,,,,,,,10252.0,,
109,AZ1994,,,,,,,,,,,,,,10589.0,,
110,AZ1995,,,,,,,,,,,,,,10745.0,,
111,AZ1996,,,,,,,,,,,,,,11009.0,,
112,AZ1997,,,,,,,,,,,,,,11035.0,,
113,AZ1998,,,,,,,,,,,,,,11561.0,,
114,AZ1999,,,,,,,,,,,,,,11789.0,,
115,AZ2000,,,,,,0.33,,0.06,0.05,,,,0.29,12018.0,,0.26
116,AZ2001,,,,,,0.34,,0.09,0.07,,,,0.28,11653.0,,
117,AZ2002,,,,,,0.31,,0.06,0.07,,,,0.28,11363.0,0.11,
118,AZ2003,,,,,,0.35,,0.08,0.08,,,0.198,0.28,11554.0,,
119,AZ2004,,,,,,0.31,,0.07,0.07,,,,0.26,11738.0,,0.42
120,AZ2005,0.08,0.14,0.08,0.49,0.21,0.33,0.04,0.07,0.07,,,,0.29,11828.0,,
121,AZ2006,0.08,0.14,0.08,0.48,0.21,0.33,0.04,0.08,0.06,,,,0.32,12824.0,0.18,
122,AZ2007,0.08,0.14,0.08,0.47,0.22,0.34,0.04,0.09,0.06,,,0.173,0.32,12868.0,,
123,AZ2008,0.08,0.14,0.08,0.48,0.22,0.35,0.04,0.09,0.06,,,,0.3,12051.0,,0.43
124,AZ2009,0.08,0.15,0.08,0.49,0.2,0.37,0.04,0.09,0.05,,,,0.31,10874.0,,
125,AZ2010,0.08,0.15,0.08,0.5,0.19,0.37,0.05,0.1,0.06,,,,0.3,9389.0,0.27,
126,AZ2011,0.09,0.15,0.09,0.49,0.18,0.4,0.05,0.09,0.05,0.09,0.303,0.172,0.3,8402.0,,
127,AZ2012,0.09,0.16,0.09,0.47,0.19,0.38,0.05,0.1,0.05,,,,0.29,8119.0,,0.43
128,AZ2013,0.09,0.17,0.09,0.47,0.19,0.37,0.04,0.11,0.05,,,,0.29,7232.0,,
129,AZ2014,0.09,0.17,0.1,0.47,0.17,0.37,0.04,0.11,0.06,,,,0.28,6622.0,0.15,
