,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: O,safe1112: P,safe1112: S,safe1415: 1,safe1415: 2,safe161718: 1,safe161718: 2,safe1920: 1,safe1920: 2,safe212223
162,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
163,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
164,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
165,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
166,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
167,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
168,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
169,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
170,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
171,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
172,CA2022,0.04,0.27,20609.0,21775.0,,15349,6,3963,64,44989,249,3496,3448,0.01,0.08,0.01,0.08,0.06,0.28,0.08
173,CA2023,,,18644.0,21418.0,,13636,6,3730,70,42527,212,3496,2962,,,,,,,
174,CA2024,,,,,,,5,,,,,,,,,,,,,
175,CO2000,,,6942.0,5512.0,711.0,1771,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
176,CO2001,,,7007.0,5200.0,749.0,1477,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
177,CO2002,0.11,0.47,7738.0,6343.0,992.0,2068,6,467,133,3341,1381,1968,911,,,,,0.1,0.22,
178,CO2003,0.12,0.46,7613.0,7284.0,1040.0,1742,7,414,113,3709,1570,1790,944,,,,,0.1,0.19,
179,CO2004,0.13,0.49,7782.0,7577.0,969.0,1684,8,518,147,5023,1585,1915,1054,,,,,0.09,0.21,
180,CO2005,0.11,0.47,7651.0,7182.0,954.0,1785,8,513,170,5818,853,1763,993,,,,,0.07,0.21,0.1
181,CO2006,0.11,0.48,7059.0,6896.0,956.0,2099,9,580,195,7324,492,1900,1075,,,,,0.08,0.22,0.1
182,CO2007,0.11,0.5,6431.0,6585.0,1084.0,1762,8,458,198,7110,874,1724,951,,,,,0.09,0.23,0.1
183,CO2008,0.11,0.48,6589.0,6305.0,1005.0,1878,9,535,214,7833,603,1959,1086,,,,,0.1,0.24,0.1
184,CO2009,0.1,0.46,6353.0,6204.0,1070.0,1647,9,590,210,8710,201,2006,1225,,,,,0.1,0.26,0.09
185,CO2010,0.08,0.45,5753.0,5886.0,983.0,1246,9,470,167,8761,39,1424,1070,,,,,0.11,0.27,0.08
186,CO2011,0.07,0.43,5300.0,5502.0,934.0,1098,9,415,181,8174,45,1363,1037,,,,,0.1,0.27,0.07
187,CO2012,0.07,0.44,5042.0,5181.0,905.0,917,8,330,172,8230,68,1263,1025,,,,,0.11,0.29,0.07
188,CO2013,0.07,0.41,4820.0,4691.0,782.0,896,8,338,160,7982,35,1186,1043,,,,,0.13,0.31,0.06
189,CO2014,,,4686.0,4522.0,769.0,1008,8,287,138,7896,44,1154,981,,,,,0.11,0.32,
190,CO2015,0.06,0.44,4926.0,4805.0,820.0,926,8,313,154,8071,27,1149,1008,,,,,0.09,0.32,0.07
191,CO2016,0.06,0.4,5277.0,4898.0,839.0,1038,9,317,178,8988,36,1272,1062,,,,,0.09,0.32,0.06
192,CO2017,0.06,0.42,5134.0,4873.0,948.0,953,9,268,181,9426,33,1287,1065,,,,,0.09,0.33,0.05
193,CO2018,0.05,0.4,4785.0,4741.0,910.0,997,9,236,205,9769,41,1227,1009,,,,,0.1,0.34,0.05
194,CO2019,,,4420.0,4402.0,919.0,1007,10,254,155,10064,19,1213,1163,,,,,,,
195,CO2020,,,3554.0,3936.0,832.0,921,9,216,141,9651,28,1157,1035,,,,,,,
