,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
62,AL2013,0.09,0.16,0.09,0.51,0.13,19,0.08,0.08,0.02,,,,0.09,0.18,0.07,0.53,0.14,0.6,0.2,0.4,0.8,0.68,0.25,0.32,0.75,,,,,0.75,0.3,0.25,0.7,,,,,,,,,0.22,0.82,0.51,0.53,0.77,6554.0,11128.0,183.0,2294.0,20159.0,0.21,,0.42
63,AL2014,0.1,0.16,0.09,0.5,0.14,,,,0.01,,,,0.08,0.18,0.08,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6213.0,10427.0,153.0,2346.0,19139.0,0.2,,0.42
64,AL2015,0.1,0.17,0.1,0.49,0.14,43,0.08,0.08,0.02,,,,0.08,0.19,0.07,0.53,0.13,0.56,0.17,0.44,0.83,0.71,0.26,0.29,0.74,,,,,0.75,0.26,0.25,0.74,,,,,,,,,0.21,0.81,0.55,0.62,0.76,6752.0,9600.0,186.0,2303.0,18841.0,0.17,,0.45
65,AL2016,0.1,0.17,0.11,0.49,0.12,,,,0.01,S,S,0.02,0.09,0.18,0.08,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6779.0,9570.0,150.0,3262.0,19761.0,0.17,,0.45
66,AL2017,0.1,0.16,0.12,0.5,0.12,44,0.07,0.07,0.01,S,0.05,0.04,0.1,0.19,0.08,0.52,0.12,0.55,0.21,0.45,0.79,0.67,0.28,0.33,0.72,,,,,0.73,0.31,0.27,0.69,,,,,,,,,0.25,0.78,0.48,0.49,0.76,6273.0,7891.0,171.0,3088.0,17423.0,0.17,,0.44
67,AL2018,0.1,0.18,0.11,0.49,0.11,,,,0.01,S,0.05,0.04,0.1,0.2,0.07,0.52,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6564.0,7247.0,170.0,2635.0,16616.0,0.16,,0.45
68,AL2019,0.11,0.18,0.11,0.48,0.11,,,,0.02,0.03,S,0.03,0.09,0.19,0.09,0.52,0.11,0.57,0.21,0.43,0.79,0.64,0.24,0.36,0.76,,,,,0.71,0.28,0.29,0.72,,,,,,,,,0.27,0.84,0.55,0.53,0.77,6225.0,7026.0,126.0,3715.0,17092.0,0.14,,0.46
69,AL2020,,,,,,,,,,0.07,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AL2021,0.1,0.17,0.13,0.48,0.1,,,,0.02,0.09,0.06,0.07,0.09,0.2,0.09,0.53,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4170.0,4583.0,56.0,3661.0,12470.0,0.16,,0.44
71,AL2022,0.1,0.19,0.13,0.48,0.1,,,,0.02,0.07,0.08,0.07,0.09,0.2,0.1,0.53,0.08,0.53,0.19,0.47,0.81,0.61,0.22,0.39,0.78,,,,,0.71,0.27,0.29,0.73,,,,,,,,,0.36,0.84,0.6,0.52,0.79,4709.0,3973.0,106.0,3834.0,12557.0,0.14,,0.46
72,AL2023,0.11,0.2,0.13,0.48,0.09,,,,0.02,,,,0.1,0.21,0.1,0.51,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.47
73,AL2024,,,,,,,,,0.02,,,,0.09,0.22,0.11,0.51,0.07,0.5,0.18,0.5,0.82,0.59,0.21,0.41,0.79,,,,,0.76,0.37,0.24,0.63,,,,,,,,,S,0.83,0.54,0.6,0.78,,,,,,,,
74,AR1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,5056.0,106.0,100.0,7337.0,,,
75,AR1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252.0,4968.0,103.0,124.0,7447.0,,,
76,AR1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.0,5055.0,54.0,119.0,7352.0,,,
