,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
217,CO2014,334501,211226,202562,499861,609781,638369,38000,1210000,387591,6920,36632,52399,1905,51585,711118,128000
218,CO2015,335469,213422,207335,502086,614529,643783,37000,1220000,391673,6986,38083,53350,2011,53092,713117,130000
219,CO2016,335665,215875,211824,500740,617594,646510,40000,1220000,394519,6941,38958,53893,2075,54296,713422,133000
220,CO2017,334499,218611,213564,497545,617779,646440,44000,1219000,396297,6955,39802,53907,2120,55707,709431,112000
221,CO2018,333970,219502,215519,495235,618407,645819,35000,1232000,398225,6952,40483,54408,2236,56999,704923,98000
222,CO2019,329225,219663,217089,490696,614557,642116,33000,1224000,397418,6870,40357,54174,2291,57488,698075,93000
223,CO2020,320883,227150,223101,488405,614770,644769,,,399161,6837,41347,54728,2291,58824,696351,
224,CO2021,314686,224588,223655,481509,607594,636844,35000,1207000,400066,6658,42189,55243,2389,59491,678402,90000
225,CO2022,310966,220033,223911,474178,600139,628949,36000,1176000,402709,6562,43472,55572,2460,59914,658399,86000
226,CO2023,310147,214008,225523,470138,595434,624382,31000,1180000,406653,6444,45202,56611,2561,60594,641751,82000
227,CO2024,311658,210014,224440,467053,592376,620789,45000,1162000,411709,6275,47338,57949,2651,60910,626333,
228,CT1990,233688,113091,117376,288511,367041,385625,,,,,,,,,,
229,CT1991,237670,116510,115392,296732,373672,392632,,,,,,,,,,
230,CT1992,239387,119201,115728,302948,379068,398196,,,,,,,,,,
231,CT1993,239747,122248,116362,312392,385632,405117,,,,,,,,,,
232,CT1994,237063,125056,119042,320070,390713,410518,,,,,,,,,,
233,CT1995,232364,126520,121538,328201,394346,414277,,,,,,,,,,
234,CT1996,227483,127592,123404,333376,395943,415912,,,,,,,,,,
235,CT1997,223409,129170,125573,336221,397197,417176,,,,,,,,,,
236,CT1998,222793,133151,127912,340744,402217,422383,,,,,,,,,,
237,CT1999,222817,138027,130399,343411,407164,427490,,,,,,,,,,
238,CT2000,223181,141629,133195,344237,410908,431334,,,116911,2106,22143,95798,277,16440,588567,
239,CT2000-2002,,,,,,,,,,,,,,,,49000
240,CT2001,220088,145551,137052,343159,412517,433333,,,120464,2058,23406,95875,280,17480,586287,
241,CT2001-2003,,,,,,,,,,,,,,,,49000
242,CT2002,217269,151407,140896,339305,414072,434805,,,124870,2083,24894,96155,291,18480,582104,
243,CT2002-2004,,,,,,,,,,,,,,,,50000
244,CT2003,216866,154522,144601,335126,415198,435917,,,129348,2131,26356,96070,285,19604,577321,
245,CT2004,214447,154768,147851,331913,413971,435008,,,132882,2132,27529,95455,293,20671,570017,
246,CT2005,211315,152167,153312,327240,411798,432236,33000,798000,136035,2127,28889,94763,303,21674,560243,46000
247,CT2006,208812,150407,156108,324045,409549,429823,39000,779000,140521,2161,30035,94093,288,22746,549528,51000
248,CT2007,207326,148888,156493,320777,406409,427075,33000,786000,145618,2131,31190,93261,298,23789,537197,52000
249,CT2008,205536,147803,154424,318863,403244,423382,30000,781000,150128,2069,32355,92233,292,24923,524626,62000
250,CT2009,203201,146826,153069,317743,400844,419995,38000,770000,155860,1930,33538,91292,315,26158,511746,65000
251,CT2010,201263,144875,151699,316562,397559,416840,35000,780000,160674,1926,34594,90182,296,27209,499518,63000
252,CT2011,197809,144480,149638,312794,393092,411629,32000,771000,163334,2021,35586,89022,317,27677,486764,64000
253,CT2012,194342,143469,148184,308706,388486,406215,33000,760000,166041,2092,36432,88130,317,28063,473626,58000
254,CT2013,190429,141975,146073,304261,382771,399967,30000,756000,168101,2159,36797,87113,318,28351,459899,60000
255,CT2014,188491,139295,145806,299436,377724,395304,34000,741000,170555,2261,37542,86340,316,28699,447315,62000
256,CT2015,186694,136567,144601,294312,372575,389599,33000,731000,172177,2287,38211,85536,323,28853,434787,66000
257,CT2016,184728,134951,143242,289380,367966,384335,31000,721000,174305,2226,38715,84663,328,29001,423063,65000
258,CT2017,183894,133964,140459,285412,364026,379703,31000,711000,177572,2176,39046,84065,339,29095,411436,65000
259,CT2018,183232,133212,137995,281622,360413,375648,27000,708000,181506,2131,39112,83453,344,29245,400270,68000
260,CT2019,181785,131363,136297,277835,356339,370941,32000,695000,183781,2104,39101,83282,345,29383,389284,62000
261,CT2020,180960,136985,140862,281012,362038,377781,,,191843,2122,39867,85646,365,30101,389875,
262,CT2021,179818,134741,139752,278240,358886,373665,30000,698000,195149,2054,39296,85722,362,30107,379861,66000
263,CT2022,181375,131521,139387,277424,357351,372356,33000,698000,200202,2015,39665,86574,374,30043,370834,63000
264,CT2023,182471,128265,139669,277817,356140,372082,42000,681000,205144,1925,39813,87680,375,30153,363132,69000
265,CT2024,183534,126329,138881,279083,355241,372586,35000,692000,210317,1863,40494,88449,363,30302,356039,
266,DC1990,37142,15812,18028,41650,55656,56976,,,,,,,,,,
267,DC1991,39951,16771,16829,43274,57726,59099,,,,,,,,,,
268,DC1992,41323,17173,16615,43525,58648,59988,,,,,,,,,,
269,DC1993,42331,17413,16701,44026,59589,60882,,,,,,,,,,
270,DC1994,42501,17416,17203,45050,60415,61755,,,,,,,,,,
271,DC1995,41216,17323,17799,47282,61146,62474,,,,,,,,,,
272,DC1996,38672,16768,17760,48010,60011,61199,,,,,,,,,,
273,DC1997,36608,16644,17490,48789,59239,60292,,,,,,,,,,
274,DC1998,33796,16005,16611,47427,56422,57417,,,,,,,,,,
275,DC1999,32898,16627,16964,48513,57050,57952,,,,,,,,,,
276,DC2000,32321,16918,17048,48216,56855,57648,,,11463,245,1767,85418,50,1732,13828,
277,DC2000-2002,,,,,,,,,,,,,,,,8000
278,DC2001,32396,17454,16871,47904,56966,57659,,,11809,231,1797,83789,52,1941,15006,
279,DC2001-2003,,,,,,,,,,,,,,,,9000
280,DC2002,32340,18511,16826,46145,56583,57239,,,11738,225,1871,82392,48,2122,15426,
281,DC2002-2004,,,,,,,,,,,,,,,,9000
282,DC2003,31553,19388,16585,43877,55248,56155,,,11666,211,1818,80065,45,2233,15365,
283,DC2004,31843,19815,16897,41201,54443,55313,,,11748,227,1718,77960,42,2370,15691,
284,DC2005,32051,19037,17588,38511,53155,54032,4000,107000,11520,223,1676,75357,31,2431,15949,12000
